"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHANCHAMAYO (000)",39735,37988,192,8389,8275,6365,8179,4343,1708,537,1747,128074
"De 12 a 14 años (001)",118,56,7,41,8,,,,,,62,57
"De 15 a 19 años (002)",1727,1541,19,1294,189,32,7,,,,186,1796
"De 20 a 24 años (003)",5074,4463,30,2590,1312,410,114,7,,,611,6972
"De 25 a 29 años (004)",5958,5544,34,1791,2010,1071,581,49,8,,414,11856
"De 30 a 34 años (005)",5335,5179,12,995,1532,1270,1095,238,33,4,156,14422
"De 35 a 39 años (006)",5297,5194,17,581,1231,1129,1563,544,111,18,103,17854
"De 40 a 44 años (007)",4456,4414,6,364,744,887,1414,720,223,56,42,17822
"De 45 a 49 años (008)",3456,3419,12,226,463,561,1044,730,299,84,37,15596
"De 50 y más años (009)",8314,8178,55,507,786,1005,2361,2055,1034,375,136,41699
"Conviviente (010)",18122,17645,91,4952,4529,3059,3241,1257,406,110,477,49970
"De 12 a 14 años (011)",79,29,5,19,5,,,,,,50,29
"De 15 a 19 años (012)",1264,1109,12,923,143,27,4,,,,155,1306
"De 20 a 24 años (013)",3371,3234,24,1812,991,310,91,6,,,137,5143
"De 25 a 29 años (014)",3692,3627,24,1096,1360,709,396,38,4,,65,7889
"De 30 a 34 años (015)",2940,2921,7,519,866,750,627,127,23,2,19,8220
"De 35 a 39 años (016)",2602,2581,6,253,613,570,780,277,68,14,21,9076
"De 40 a 44 años (017)",1763,1759,3,134,276,343,601,300,78,24,4,7204
"De 45 a 49 años (018)",1079,1078,2,85,130,177,353,222,86,23,1,4852
"De 50 y más años (019)",1332,1307,8,111,145,173,389,287,147,47,25,6251
"Separado(a) (020)",2716,2668,8,778,597,439,492,249,80,25,48,7982
