"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ACOBAMBA (000)",22185,61959,55031,,1042,88.8,1.7
"De 12 a 14 años (001)",2641,8,8,,,100,
"De 15 a 19 años (002)",3495,513,497,148,96.9,28.8,
"De 20 a 24 años (003)",2814,2663,2589,302,97.2,11.3,
"De 25 a 29 años (004)",2219,4366,4204,200,96.3,4.6,
"De 30 a 34 años (005)",1897,5882,5568,170,94.7,2.9,
"De 35 a 39 años (006)",1821,7649,7153,129,93.5,1.7,
"De 40 a 44 años (007)",1479,7710,7044,64,91.4,0.8,
"De 45 a 49 años (008)",1358,7872,7085,29,90,0.4,
"De 50 y más años (009)",4461,25296,20883,,82.6,,
"PEA (010)",5217,16611,14827,282,89.3,1.7,
"De 12 a 14 años (011)",81,3,3,,100,,
"De 15 a 19 años (012)",533,118,117,32,99.2,27.1,
"De 20 a 24 años (013)",760,697,680,88,97.6,12.6,
"De 25 a 29 años (014)",685,1134,1089,56,96,4.9,
"De 30 a 34 años (015)",608,1639,1562,47,95.3,2.9,
"De 35 a 39 años (016)",585,2177,2060,31,94.6,1.4,
"De 40 a 44 años (017)",451,2226,2041,21,91.7,0.9,
"De 45 a 49 años (018)",415,2259,2044,7,90.5,0.3,
"De 50 y más años (019)",1099,6358,5231,,82.3,,
"Ocupada (020)",4962,16222,14464,276,89.2,1.7,
"De 12 a 14 años (021)",74,3,3,,100,,
"De 15 a 19 años (022)",481,114,113,31,99.1,27.2,
"De 20 a 24 años (023)",692,676,659,87,97.5,12.9,
"De 25 a 29 años (024)",644,1094,1054,53,96.3,4.8,
"De 30 a 34 años (025)",587,1610,1533,46,95.2,2.9,
"De 35 a 39 años (026)",567,2117,2002,31,94.6,1.5,
"De 40 a 44 años (027)",431,2153,1972,21,91.6,1,
"De 45 a 49 años (028)",406,2222,2008,7,90.4,0.3,
"De 50 y más años (029)",1080,6233,5120,,82.1,,
"Desocupada (030)",255,389,363,6,93.3,1.5,
"De 12 a 14 años (031)",7,,,,,,
"De 15 a 19 años (032)",52,4,4,1,100,25,
"De 20 a 24 años (033)",68,21,21,1,100,4.8,
"De 25 a 29 años (034)",41,40,35,3,87.5,7.5,
"De 30 a 34 años (035)",21,29,29,1,100,3.4,
"De 35 a 39 años (036)",18,60,58,,96.7,,
