"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9644,1066,1656,4666,240,1685,129,202
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",36,36,,,,,,
"Profes., científicos e intelectuales (002)",553,513,,39,1,,,
"Técnicos de nivel medio y trab. asimilados (003)",162,121,,33,5,3,,
"Jefes y empleados de oficina (004)",106,105,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",551,97,1,367,15,71,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3917,,,3722,193,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",294,,76,192,9,17,,
"Obreros construc.,conf.,papel, fab., instr. (008)",341,33,123,167,8,10,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",3295,96,1438,70,3,1559,129,
"Otra (010)",34,34,,,,,,
"Ocupación no especificada (011)",153,31,18,76,6,22,,
"Desocupado (012)",202,,,,,,,202
"Hombres (013)",7867,612,1450,4117,203,1338,2,145
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",29,29,,,,,,
"Profes., científicos e intelectuales (015)",316,284,,31,1,,,
"Técnicos de nivel medio y trab. asimilados (016)",97,59,,32,4,2,,
"Jefes y empleados de oficina (017)",58,57,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",224,50,,148,9,17,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3695,,,3520,173,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",261,,73,172,5,11,,
"Obreros construc.,conf.,papel, fab., instr. (021)",338,33,123,165,7,10,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",2623,55,1245,27,1,1293,2,
"Otra (023)",34,34,,,,,,
"Ocupación no especificada (024)",47,11,9,22,3,2,,
"Desocupado (025)",145,,,,,,,145
"Mujeres (026)",1777,454,206,549,37,347,127,57
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",7,7,,,,,,
"Profes., científicos e intelectuales (028)",237,229,,8,,,,
"Técnicos de nivel medio y trab. asimilados (029)",65,62,,1,1,1,,
"Jefes y empleados de oficina (030)",48,48,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",327,47,1,219,6,54,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",222,,,202,20,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",33,,3,20,4,6,,
"Obreros construc.,conf.,papel, fab., instr. (034)",3,,,2,1,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",672,41,193,43,2,266,127,
"Ocupación no especificada (037)",106,20,9,54,3,20,,
"Desocupado (038)",57,,,,,,,57
,,,,,,,,
"URBANA (039)",3332,820,390,1473,62,383,85,119
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",29,29,,,,,,
"Profes., científicos e intelectuales (041)",402,380,,21,1,,,
"Técnicos de nivel medio y trab. asimilados (042)",123,89,,27,4,3,,
"Jefes y empleados de oficina (043)",85,84,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",439,84,,284,13,58,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",832,,,808,23,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",199,,43,139,8,9,,
"Obreros construc.,conf.,papel, fab., instr. (047)",227,24,81,110,8,4,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",762,79,249,50,3,296,85,
"Otra (049)",30,30,,,,,,
"Ocupación no especificada (050)",85,21,17,34,2,11,,
"Desocupado (051)",119,,,,,,,119
"Hombres (052)",2356,468,337,1152,49,259,1,90
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",24,24,,,,,,
"Profes., científicos e intelectuales (054)",223,204,,18,1,,,
"Técnicos de nivel medio y trab. asimilados (055)",74,43,,26,3,2,,
"Jefes y empleados de oficina (056)",43,42,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",173,47,,104,8,14,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",767,,,743,23,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",175,,40,124,4,7,,
"Obreros construc.,conf.,papel, fab., instr. (060)",224,24,81,108,7,4,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",505,48,208,19,1,228,1,
"Otra (062)",30,30,,,,,,
"Ocupación no especificada (063)",28,6,8,10,2,2,,
"Desocupado (064)",90,,,,,,,90
"Mujeres (065)",976,352,53,321,13,124,84,29
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",5,5,,,,,,
"Profes., científicos e intelectuales (067)",179,176,,3,,,,
"Técnicos de nivel medio y trab. asimilados (068)",49,46,,1,1,1,,
"Jefes y empleados de oficina (069)",42,42,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",266,37,,180,5,44,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",65,,,65,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",24,,3,15,4,2,,
"Obreros construc.,conf.,papel, fab., instr. (073)",3,,,2,1,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",257,31,41,31,2,68,84,
"Ocupación no especificada (076)",57,15,9,24,,9,,
"Desocupado (077)",29,,,,,,,29
,,,,,,,,
"RURAL (078)",6312,246,1266,3193,178,1302,44,83
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",7,7,,,,,,
"Profes., científicos e intelectuales (080)",151,133,,18,,,,
"Técnicos de nivel medio y trab. asimilados (081)",39,32,,6,1,,,
"Jefes y empleados de oficina (082)",21,21,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",112,13,1,83,2,13,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",3085,,,2914,170,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",95,,33,53,1,8,,
"Obreros construc.,conf.,papel, fab., instr. (086)",114,9,42,57,,6,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",2533,17,1189,20,,1263,44,
"Otra (088)",4,4,,,,,,
"Ocupación no especificada (089)",68,10,1,42,4,11,,
"Desocupado (090)",83,,,,,,,83
"Hombres (091)",5511,144,1113,2965,154,1079,1,55
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",5,5,,,,,,
"Profes., científicos e intelectuales (093)",93,80,,13,,,,
"Técnicos de nivel medio y trab. asimilados (094)",23,16,,6,1,,,
"Jefes y empleados de oficina (095)",15,15,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",51,3,,44,1,3,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",2928,,,2777,150,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",86,,33,48,1,4,,
