"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia URUBAMBA (000)",53606,2431,5951,6887,5725,9499,7719,11456,3938
"Sabe leer y escribir (001)",45272,,4697,6836,5664,9172,7203,9482,2218
"No sabe leer y escribir (002)",8334,2431,1254,51,61,327,516,1974,1720
"Hombres (004)",27246,1203,2982,3509,3016,4877,3907,5892,1860
"Sabe leer y escribir (005)",24285,,2348,3489,2997,4798,3782,5427,1444
"No sabe leer y escribir (006)",2961,1203,634,20,19,79,125,465,416
"Mujeres (008)",26360,1228,2969,3378,2709,4622,3812,5564,2078
"Sabe leer y escribir (009)",20987,,2349,3347,2667,4374,3421,4055,774
"No sabe leer y escribir (010)",5373,1228,620,31,42,248,391,1509,1304
,,,,,,,,,
"URBANA (012)",26393,1060,2552,2968,2861,5454,4033,5624,1841
"Sabe leer y escribir (013)",23770,,2082,2949,2850,5410,3952,5199,1328
"No sabe leer y escribir (014)",2623,1060,470,19,11,44,81,425,513
"Hombres (016)",13377,539,1257,1498,1474,2789,2019,2914,887
"Sabe leer y escribir (017)",12373,,1031,1489,1473,2773,1995,2830,782
"No sabe leer y escribir (018)",1004,539,226,9,1,16,24,84,105
"Mujeres (020)",13016,521,1295,1470,1387,2665,2014,2710,954
"Sabe leer y escribir (021)",11397,,1051,1460,1377,2637,1957,2369,546
"No sabe leer y escribir (022)",1619,521,244,10,10,28,57,341,408
,,,,,,,,,
"RURAL (024)",27213,1371,3399,3919,2864,4045,3686,5832,2097
"Sabe leer y escribir (025)",21502,,2615,3887,2814,3762,3251,4283,890
"No sabe leer y escribir (026)",5711,1371,784,32,50,283,435,1549,1207
"Hombres (028)",13869,664,1725,2011,1542,2088,1888,2978,973
"Sabe leer y escribir (029)",11912,,1317,2000,1524,2025,1787,2597,662
"No sabe leer y escribir (030)",1957,664,408,11,18,63,101,381,311
"Mujeres (032)",13344,707,1674,1908,1322,1957,1798,2854,1124
"Sabe leer y escribir (033)",9590,,1298,1887,1290,1737,1464,1686,228
"No sabe leer y escribir (034)",3754,707,376,21,32,220,334,1168,896
