"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LAMAS (000)",643,42,335,148,94,24
"Conviviente (001)",155,1,74,53,24,3
"Separado(a) (002)",14,1,1,6,6,
"Casado(a) (003)",126,,15,50,44,17
"Viudo(a) (004)",11,,,2,5,4
"Soltero(a) (006)",337,40,245,37,15,
"Hombres (008)",458,21,223,118,76,20
"Conviviente (009)",119,1,49,45,21,3
"Separado(a) (010)",10,,1,4,5,
"Casado(a) (011)",98,,12,38,34,14
"Viudo(a) (012)",8,,,2,3,3
"Soltero(a) (014)",223,20,161,29,13,
"Mujeres (016)",185,21,112,30,18,4
"Conviviente (017)",36,,25,8,3,
"Separado(a) (018)",4,1,,2,1,
"Casado(a) (019)",28,,3,12,10,3
"Viudo(a) (020)",3,,,,2,1
"Soltero(a) (022)",114,20,84,8,2,
,,,,,,
"AREA URBANA (024)",415,15,203,102,74,21
"Conviviente (025)",101,,43,37,19,2
"Separado(a) (026)",12,,1,5,6,
"Casado(a) (027)",90,,11,33,31,15
"Viudo(a) (028)",9,,,1,4,4
"Soltero(a) (030)",203,15,148,26,14,
"Hombres (032)",302,10,138,78,59,17
"Conviviente (033)",75,,26,31,16,2
"Separado(a) (034)",9,,1,3,5,
"Casado(a) (035)",68,,8,24,24,12
"Viudo(a) (036)",6,,,1,2,3
"Soltero(a) (038)",144,10,103,19,12,
"Mujeres (040)",113,5,65,24,15,4
"Conviviente (041)",26,,17,6,3,
"Separado(a) (042)",3,,,2,1,
"Casado(a) (043)",22,,3,9,7,3
"Viudo(a) (044)",3,,,,2,1
"Soltero(a) (046)",59,5,45,7,2,
,,,,,,
"AREA RURAL (048)",228,27,132,46,20,3
"Conviviente (049)",54,1,31,16,5,1
"Separado(a) (050)",2,1,,1,,
"Casado(a) (051)",36,,4,17,13,2
"Viudo(a) (052)",2,,,1,1,
"Soltero(a) (054)",134,25,97,11,1,
"Hombres (056)",156,11,85,40,17,3
"Conviviente (057)",44,1,23,14,5,1
"Separado(a) (058)",1,,,1,,
"Casado(a) (059)",30,,4,14,10,2
"Viudo(a) (060)",2,,,1,1,
"Soltero(a) (062)",79,10,58,10,1,
"Mujeres (064)",72,16,47,6,3,
"Conviviente (065)",10,,8,2,,
"Separado(a) (066)",1,1,,,,
"Casado(a) (067)",6,,,3,3,
"Soltero(a) (070)",55,15,39,1,,
