"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ASCOPE (000)",33114,30942,86,7520,7422,5257,5954,2897,1312,494,2172,99201
"De 12 a 14 años (001)",41,23,2,19,2,,,,,,18,23
"De 15 a 19 años (002)",757,639,6,573,53,4,3,,,,118,703
"De 20 a 24 años (003)",2925,2380,8,1696,564,102,9,1,,,545,3172
"De 25 a 29 años (004)",3623,3155,9,1539,1098,400,102,6,1,,468,5402
"De 30 a 34 años (005)",3677,3418,3,1068,1319,644,352,31,1,,259,7322
"De 35 a 39 años (006)",3716,3513,8,772,1245,833,555,84,13,3,203,8799
"De 40 a 44 años (007)",3681,3508,7,580,1063,871,761,181,37,8,173,10146
"De 45 a 49 años (008)",3211,3074,7,411,759,738,806,271,65,17,137,10114
"De 50 y más años (009)",11483,11232,36,862,1319,1665,3366,2323,1195,466,251,53520
"Sin nivel (010)",4052,3946,6,325,456,499,1079,858,541,182,106,19616
"De 15 a 19 años (012)",23,20,,17,3,,,,,,3,23
"De 20 a 24 años (013)",76,56,,34,17,5,,,,,20,83
"De 25 a 29 años (014)",102,89,,32,28,20,9,,,,13,187
"De 30 a 34 años (015)",162,150,,26,46,41,33,3,1,,12,412
"De 35 a 39 años (016)",234,222,,30,67,46,65,13,,1,12,668
"De 40 a 44 años (017)",237,230,,24,53,46,70,29,7,1,7,830
"De 45 a 49 años (018)",250,245,,24,46,44,76,34,16,5,5,991
"De 50 y más años (019)",2968,2934,6,138,196,297,826,779,517,175,34,16422
"Educacion Inicial (020)",54,49,,13,26,7,3,,,,5,99
"De 15 a 19 años (022)",3,3,,2,1,,,,,,,4
"De 20 a 24 años (023)",7,7,,3,3,1,,,,,,12
