"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia TOCACHE",,,,,,,
"Viviendas particulares (001)",17513,3712,517,323,11492,508,961
"Ocupantes presentes (002)",68768,12393,1914,1341,48035,1790,3295
"Casa independiente",,,,,,,
"Viviendas particulares (004)",12919,2510,256,269,8886,354,644
"Ocupantes presentes (005)",52925,8915,1008,1105,38188,1353,2356
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",61,46,,,14,1,
"Ocupantes presentes (008)",158,114,,,43,1,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",801,664,,3,120,2,12
"Ocupantes presentes (011)",2498,1850,,15,583,9,41
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",285,214,,1,50,9,11
"Ocupantes presentes (014)",948,611,,4,249,33,51
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",3360,249,254,49,2389,132,287
"Ocupantes presentes (017)",11960,804,892,214,8855,368,827
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",43,14,7,1,16,3,2
"Ocupantes presentes (020)",156,50,14,3,68,10,11
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",34,14,,,10,7,3
"Ocupantes presentes (023)",98,46,,,31,16,5
"Otro tipo",,,,,,,
"Viviendas particulares (025)",10,1,,,7,,2
"Ocupantes presentes (026)",25,3,,,18,,4
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",8446,2747,163,222,4833,170,311
"Ocupantes presentes (029)",34110,9182,616,921,21451,685,1255
"Casa independiente",,,,,,,
"Viviendas particulares (031)",7230,1795,156,217,4623,154,285
"Ocupantes presentes (032)",30268,6512,602,899,20476,629,1150
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",61,46,,,14,1,
"Ocupantes presentes (035)",158,114,,,43,1,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",801,664,,3,120,2,12
"Ocupantes presentes (038)",2498,1850,,15,583,9,41
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",285,214,,1,50,9,11
"Ocupantes presentes (041)",948,611,,4,249,33,51
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",43,14,7,1,16,3,2
"Ocupantes presentes (047)",156,50,14,3,68,10,11
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",22,13,,,7,1,1
"Ocupantes presentes (050)",68,42,,,21,3,2
"Otro tipo",,,,,,,
"Viviendas particulares (052)",4,1,,,3,,
"Ocupantes presentes (053)",14,3,,,11,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",9067,965,354,101,6659,338,650
"Ocupantes presentes (056)",34658,3211,1298,420,26584,1105,2040
"Casa independiente",,,,,,,
"Viviendas particulares (058)",5689,715,100,52,4263,200,359
"Ocupantes presentes (059)",22657,2403,406,206,17712,724,1206
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",3360,249,254,49,2389,132,287
"Ocupantes presentes (071)",11960,804,892,214,8855,368,827
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",12,1,,,3,6,2
"Ocupantes presentes (077)",30,4,,,10,13,3
"Otro tipo",,,,,,,
"Viviendas particulares (079)",6,,,,4,,2
"Ocupantes presentes (080)",11,,,,7,,4
