"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHOTA (000)",52271,10944,41327
"Casa independiente (001)",51107,10666,40441
"Departamento en edificio (002)",90,90,
"Vivienda en quinta (003)",78,78,
"Vivienda en casa de vecindad (004)",73,73,
"Choza o cabaña (005)",877,,877
"Vivienda improvisada (006)",27,27,
"Local no dest.para hab. humana (007)",16,8,8
"Otro tipo (008)",3,2,1
