"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CARHUAZ (000)",43772,14732,29040
"Casa independiente (001)",43535,14634,28901
"Departamento en edificio (002)",20,20,
"Vivienda en quinta (003)",16,16,
"Vivienda en casa de vecindad (004)",39,39,
"Choza o cabaña (005)",139,,139
"Vivienda improvisada (006)",10,10,
"Local no dest.para hab. humana (007)",13,13,
