"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia TAMBOPATA (000)",33610,91,2600,2088,1654,6032,3268,3628,4979,7632,331,1307
"Agric., ganadería, caza y silvicultura (001)",5328,4,29,70,8,10,3241,3,26,1937,,
"Pesca (002)",118,,1,1,,,27,,,89,,
"Explotación de minas y canteras (003)",2017,1,7,63,5,118,,833,27,963,,
"Industrias manufactureras (004)",2352,2,16,95,30,7,,2000,160,42,,
"Suministro de electricidad, gas y agua (005)",85,1,6,18,12,,,17,6,25,,
"Construcción (006)",2618,,117,173,48,,,113,1533,634,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5968,9,42,324,50,3936,,627,60,920,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",850,,11,63,10,160,,558,32,16,,
"Comercio al por mayor (009)",287,5,18,42,9,159,,2,12,40,,
"Comercio al por menor (010)",4831,4,13,219,31,3617,,67,16,864,,
"Hoteles y restaurantes (011)",2547,1,9,115,72,1534,,5,4,807,,
"Trans., almac. y comunicaciones (012)",3878,2,32,148,158,73,,16,3061,388,,
"Intermediación financiera (013)",132,2,2,20,88,,,,,20,,
"Activid.inmobil., empres. y alquileres (014)",1186,1,335,283,119,212,,5,55,176,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1314,32,140,105,551,12,,3,31,109,331,
"Enseñanza (016)",1581,26,1449,23,52,,,2,6,23,,
"Servicios sociales y de salud (017)",730,,323,320,45,10,,,3,29,,
"Otras activ. serv.comun.soc y personales (018)",1249,4,35,230,47,119,,4,5,805,,
"Hogares privados con servicio doméstico (019)",664,,,1,,1,,,,662,,
