"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LIMA (000)",3286770,1893131,347188,402689,643762
"Agric., ganadería, caza y silvicultura (001)",32982,23386,4706,2750,2140
"Pesca (002)",3971,2093,486,486,906
"Explotación de minas y canteras (003)",12075,1594,1040,2021,7420
"Industrias manufactureras (004)",459439,219925,69234,69836,100444
"Suministro de electricidad, gas y agua (005)",8124,1160,443,2491,4030
"Construcción (006)",194476,118507,28484,26661,20824
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",788017,654316,64314,46966,22421
"Venta, mant.y rep. veh.autom y motoc. (008)",89465,59293,14263,9040,6869
"Comercio al por mayor (009)",57036,23419,7082,10983,15552
"Comercio al por menor (010)",641516,571604,42969,26943,
"Hoteles y restaurantes (011)",184018,126548,24955,21402,11113
"Trans., almac. y comunicaciones (012)",335005,223125,23021,32050,56809
"Intermediación financiera (013)",42519,3888,3449,12388,22794
"Activid.inmobil., empres. y alquileres (014)",344490,135514,45881,66898,96197
"Admin.pub. y defensa; p. segur soc.afil (015)",121092,,,,121092
"Enseñanza (016)",187001,30554,33510,65292,57645
"Servicios sociales y de salud (017)",111205,31798,7035,7961,64411
"Otras activ. serv.comun.soc y personales (018)",162056,94470,22059,22949,22578
"Hogares privados con servicio doméstico (019)",153917,153917,,,
"Organiz. y organos extraterritoriales (020)",451,,76,106,269
"Actividad economica no especificada (021)",145932,72336,18495,22432,32669
"Hombres (022)",1947635,1081252,220487,242764,403132
"Agric., ganadería, caza y silvicultura (023)",25119,17720,3608,2192,1599
"Pesca (024)",3454,1956,419,388,691
"Explotación de minas y canteras (025)",9951,1323,877,1635,6116
"Industrias manufactureras (026)",310154,148983,47678,47203,66290
"Suministro de electricidad, gas y agua (027)",7052,1073,389,2171,3419
"Construcción (028)",186177,115092,27195,24700,19190
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",426434,341156,40310,29389,15579
"Venta, mant.y rep. veh.autom y motoc. (030)",80479,54239,12657,7518,6065
"Comercio al por mayor (031)",34268,13662,4359,6733,9514
"Comercio al por menor (032)",311687,273255,23294,15138,
"Hoteles y restaurantes (033)",71353,38085,13335,13257,6676
"Trans., almac. y comunicaciones (034)",292389,204593,18950,25227,43619
"Intermediación financiera (035)",22542,2235,1739,6495,12073
