"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHICLAYO (000)",179902,165841,14061
"Casa independiente (001)",166592,152949,13643
"Departamento en edificio (002)",7843,7843,
"Vivienda en quinta (003)",1998,1998,
"Vivienda en casa de vecindad (004)",2379,2379,
"Choza o cabaña (005)",376,,376
"Vivienda improvisada (006)",446,446,
"Local no dest.para hab. humana (007)",243,204,39
"Otro tipo (008)",25,22,3
