"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANTA (000)",6008,4546,685,445,332
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",15,,1,2,12
"Profes., científicos e intelectuales (002)",273,65,36,60,112
"Técnicos de nivel medio y trab. asimilados (003)",134,82,9,8,35
"Jefes y empleados de oficina (004)",98,10,6,11,71
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",520,477,24,6,13
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1551,1465,74,12,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",239,156,51,26,6
"Obreros construc.,conf.,papel, fab., instr. (008)",342,265,33,33,11
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2679,1934,439,269,37
"Otra (010)",32,,,,32
"Ocupación no especificada (011)",125,92,12,18,3
"Hombres (012)",4072,3077,489,324,182
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",12,,1,2,9
"Profes., científicos e intelectuales (014)",128,39,23,24,42
"Técnicos de nivel medio y trab. asimilados (015)",75,55,4,4,12
"Jefes y empleados de oficina (016)",56,4,6,5,41
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",180,156,13,4,7
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1287,1210,66,11,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",201,134,38,23,6
"Obreros construc.,conf.,papel, fab., instr. (020)",338,261,33,33,11
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1716,1189,298,204,25
"Otra (022)",29,,,,29
"Ocupación no especificada (023)",50,29,7,14,
"Mujeres (024)",1936,1469,196,121,150
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,,,,3
"Profes., científicos e intelectuales (026)",145,26,13,36,70
"Técnicos de nivel medio y trab. asimilados (027)",59,27,5,4,23
"Jefes y empleados de oficina (028)",42,6,,6,30
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",340,321,11,2,6
"Agricult.trabaj.calif.agrop.y pesqueros (030)",264,255,8,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",38,22,13,3,
"Obreros construc.,conf.,papel, fab., instr. (032)",4,4,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",963,745,141,65,12
"Otra (034)",3,,,,3
