"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia AIJA (000)",2185,26,95,214,293,380,792,385
"De 12 a 14 años (001)",2,,,,,,1,1
"De 15 a 19 años (002)",51,,,,,,43,8
"De 20 a 24 años (003)",208,,,,,,135,73
"De 25 a 29 años (004)",210,,,,,6,158,46
"De 30 a 34 años (005)",214,,,,,24,153,37
"De 35 a 39 años (006)",231,,,,3,52,146,30
"De 40 a 44 años (007)",188,,,,12,68,89,19
"De 45 a 49 años (008)",199,,,,29,94,58,18
"De 50 y más años (009)",882,26,95,214,249,136,9,153
"Conviviente (010)",710,3,2,30,41,113,393,128
"De 15 a 19 años (012)",28,,,,,,24,4
"De 20 a 24 años (013)",133,,,,,,93,40
"De 25 a 29 años (014)",118,,,,,4,93,21
"De 30 a 34 años (015)",99,,,,,6,78,15
"De 35 a 39 años (016)",101,,,,2,24,60,15
"De 40 a 44 años (017)",55,,,,3,21,26,5
"De 45 a 49 años (018)",59,,,,8,29,17,5
"De 50 y más años (019)",117,3,2,30,28,29,2,23
"Separado(a) (020)",114,,8,6,17,17,39,27
"De 15 a 19 años (022)",3,,,,,,2,1
"De 20 a 24 años (023)",12,,,,,,8,4
"De 25 a 29 años (024)",11,,,,,,11,
"De 30 a 34 años (025)",18,,,,,5,9,4
"De 35 a 39 años (026)",6,,,,,,3,3
"De 40 a 44 años (027)",10,,,,,3,4,3
"De 45 a 49 años (028)",11,,,,2,5,2,2
"De 50 y más años (029)",43,,8,6,15,4,,10
"Casado(a) (030)",885,4,29,107,188,213,268,76
"De 12 a 14 años (031)",1,,,,,,,1
"De 20 a 24 años (033)",18,,,,,,13,5
"De 25 a 29 años (034)",35,,,,,1,31,3
"De 30 a 34 años (035)",73,,,,,11,55,7
"De 35 a 39 años (036)",104,,,,1,23,75,5
"De 40 a 44 años (037)",99,,,,7,39,50,3
"De 45 a 49 años (038)",108,,,,17,50,38,3
"De 50 y más años (039)",447,4,29,107,163,89,6,49
"Viudo(a) (040)",256,19,53,61,41,18,9,55
"De 20 a 24 años (043)",1,,,,,,1,
"De 25 a 29 años (044)",2,,,,,,1,1
"De 30 a 34 años (045)",2,,,,,,2,
"De 35 a 39 años (046)",1,,,,,1,,
"De 40 a 44 años (047)",7,,,,1,,3,3
"De 45 a 49 años (048)",9,,,,2,6,1,
"De 50 y más años (049)",234,19,53,61,38,11,1,51
"Divorciado(a) (050)",6,,1,,,1,1,3
"De 25 a 29 años (054)",1,,,,,,1,
"De 40 a 44 años (057)",1,,,,,1,,
"De 50 y más años (059)",4,,1,,,,,3
"Soltero(a) (060)",214,,2,10,6,18,82,96
"De 12 a 14 años (061)",1,,,,,,1,
