"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia RECUAY (000)",5493,5255,29,980,951,768,1238,776,375,138,238,20288
"De 12 a 14 años (001)",3,1,,1,,,,,,,2,1
"De 15 a 19 años (002)",86,81,4,68,7,2,,,,,5,88
"De 20 a 24 años (003)",416,356,3,233,96,23,1,,,,60,498
"De 25 a 29 años (004)",578,503,1,228,172,65,35,2,,,75,929
"De 30 a 34 años (005)",510,483,2,119,155,113,84,8,2,,27,1203
"De 35 a 39 años (006)",567,547,1,84,147,127,142,39,6,1,20,1675
"De 40 a 44 años (007)",529,522,2,45,100,108,178,67,18,4,7,1979
"De 45 a 49 años (008)",461,450,2,32,58,77,149,99,23,10,11,1992
"De 50 y más años (009)",2343,2312,14,170,216,253,649,561,326,123,31,11923
"Conviviente (010)",1770,1752,12,416,407,299,373,170,56,19,18,5533
"De 12 a 14 años (011)",3,1,,1,,,,,,,2,1
"De 15 a 19 años (012)",57,54,3,47,3,1,,,,,3,56
"De 20 a 24 años (013)",230,225,2,140,63,19,1,,,,5,327
"De 25 a 29 años (014)",330,325,1,124,125,46,29,,,,5,636
"De 30 a 34 años (015)",244,243,1,32,74,72,58,6,,,1,691
"De 35 a 39 años (016)",259,257,1,25,61,69,73,22,5,1,2,856
"De 40 a 44 años (017)",213,213,1,13,30,46,79,36,6,2,,855
"De 45 a 49 años (018)",122,122,1,10,17,18,42,27,6,1,,519
"De 50 y más años (019)",312,312,2,24,34,28,91,79,39,15,,1592
"Separado(a) (020)",430,421,3,150,88,63,66,32,15,4,9,1178
"De 15 a 19 años (022)",9,9,1,7,1,,,,,,,9
"De 20 a 24 años (023)",48,47,,33,12,2,,,,,1,63
"De 25 a 29 años (024)",54,53,,35,11,5,2,,,,1,80
