"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia POMABAMBA (000)",10234,30818,27191,,580,88.2,1.9
"De 12 a 14 años (001)",1152,2,2,,,100,
"De 15 a 19 años (002)",1452,161,153,46,95,28.6,
"De 20 a 24 años (003)",1073,917,904,122,98.6,13.3,
"De 25 a 29 años (004)",908,1618,1579,145,97.6,9,
"De 30 a 34 años (005)",798,2422,2316,114,95.6,4.7,
"De 35 a 39 años (006)",825,3296,3112,85,94.4,2.6,
"De 40 a 44 años (007)",762,3719,3444,54,92.6,1.5,
"De 45 a 49 años (008)",623,3324,3007,13,90.5,0.4,
"De 50 y más años (009)",2641,15359,12674,1,82.5,,
"Sin nivel (010)",4168,20797,17684,241,85,1.2,
"De 12 a 14 años (011)",33,,,,,,
"De 15 a 19 años (012)",136,34,30,8,88.2,23.5,
"De 20 a 24 años (013)",183,214,209,21,97.7,9.8,
"De 25 a 29 años (014)",282,590,576,53,97.6,9,
"De 30 a 34 años (015)",310,1115,1055,67,94.6,6,
"De 35 a 39 años (016)",345,1620,1497,46,92.4,2.8,
"De 40 a 44 años (017)",395,2148,1966,34,91.5,1.6,
"De 45 a 49 años (018)",385,2242,1975,11,88.1,0.5,
"De 50 y más años (019)",2099,12834,10376,1,80.8,,
"Educacion Inicial (020)",27,52,52,4,100,7.7,
"De 12 a 14 años (021)",4,,,,,,
"De 15 a 19 años (022)",1,,,,,,
"De 20 a 24 años (023)",5,11,11,2,100,18.2,
"De 25 a 29 años (024)",6,11,11,1,100,9.1,
"De 30 a 34 años (025)",7,20,20,,100,,
"De 35 a 39 años (026)",4,10,10,1,100,10,
"Primaria (030)",2811,6073,5664,167,93.3,2.7,
"De 12 a 14 años (031)",759,1,1,,100,,
"De 15 a 19 años (032)",411,68,65,22,95.6,32.4,
"De 20 a 24 años (033)",297,319,315,37,98.7,11.6,
"De 25 a 29 años (034)",248,542,523,42,96.5,7.7,
"De 30 a 34 años (035)",236,759,736,27,97,3.6,
"De 35 a 39 años (036)",231,1001,952,21,95.1,2.1,
"De 40 a 44 años (037)",187,977,897,16,91.8,1.6,
"De 45 a 49 años (038)",113,624,587,2,94.1,0.3,
"De 50 y más años (039)",329,1782,1588,,89.1,,
"Secundaria (040)",2058,1767,1707,91,96.6,5.1,
