"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANTA (000)",16657,13191,2050,675,741
"Sin nivel (001)",1911,1737,153,11,10
"Educación inicial (002)",15,11,4,,
"Primaria (003)",6020,5097,754,82,87
"Secundaria (004)",6447,5075,830,268,274
"Superior no univ. incompleta (005)",650,429,90,50,81
"Superior no univ. completa (006)",710,403,86,106,115
"Superior univ. incompleta (007)",338,203,40,30,65
"Superior univ. completa (008)",566,236,93,128,109
"De 06 a 14 años (010)",364,314,45,5,
"Sin nivel (011)",14,11,3,,
"Educación inicial (012)",7,4,3,,
"Primaria (013)",221,195,25,1,
"Secundaria (014)",122,104,14,4,
"De 15 a 29 años (020)",4623,3597,589,200,237
"Sin nivel (021)",109,95,13,1,
"Educación inicial (022)",4,3,1,,
"Primaria (023)",928,816,98,6,8
"Secundaria (024)",2658,2113,337,112,96
"Superior no univ. incompleta (025)",326,214,51,24,37
"Superior no univ. completa (026)",344,206,51,32,55
"Superior univ. incompleta (027)",123,87,15,5,16
"Superior univ. completa (028)",131,63,23,20,25
"De 30 a 44 años (030)",5546,4231,714,293,308
"Sin nivel (031)",314,271,35,4,4
"Educación inicial (032)",4,4,,,
"Primaria (033)",2011,1665,275,35,36
"Secundaria (034)",2345,1823,306,108,108
"Superior no univ. incompleta (035)",218,150,21,19,28
"Superior no univ. completa (036)",270,148,24,49,49
"Superior univ. incompleta (037)",126,67,14,14,31
"Superior univ. completa (038)",258,103,39,64,52
"De 45 a 64 años (040)",4586,3656,582,163,185
"Sin nivel (041)",806,744,54,5,3
"Primaria (043)",2154,1785,298,32,39
"Secundaria (044)",1196,923,163,43,67
"Superior no univ. incompleta (045)",100,60,17,7,16
"Superior no univ. completa (046)",90,45,10,24,11
"Superior univ. incompleta (047)",83,44,11,11,17
"Superior univ. completa (048)",157,55,29,41,32
"De 65 y más años (050)",1538,1393,120,14,11
"Sin nivel (051)",668,616,48,1,3
"Primaria (053)",706,636,58,8,4
"Secundaria (054)",126,112,10,1,3
"Superior no univ. incompleta (055)",6,5,1,,
"Superior no univ. completa (056)",6,4,1,1,
"Superior univ. incompleta (057)",6,5,,,1
"Superior univ. completa (058)",20,15,2,3,
,,,,,
"URBANA (060)",6326,4632,806,425,463
