"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TACNA (000)",113629,780,36752,45283,27001,3813
"Agric., ganadería, caza y silvicultura (001)",11998,146,3359,3840,3455,1198
"Pesca (002)",558,1,186,211,141,19
"Explotación de minas y canteras (003)",291,,80,111,97,3
"Industrias manufactureras (004)",7222,52,2875,2658,1405,232
"Suministro de electricidad, gas y agua (005)",349,2,84,154,104,5
"Construcción (006)",8185,22,2403,3449,2075,236
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",32443,263,10731,12901,7457,1091
"Venta, mant.y rep. veh.autom.y motoc. (008)",4482,31,1970,1733,673,75
"Comercio al por mayor (009)",1585,4,581,682,300,18
"Comercio al por menor (010)",26376,228,8180,10486,6484,998
"Hoteles y restaurantes (011)",7650,100,2727,2668,1916,239
"Trans., almac. y comunicaciones (012)",10969,60,3560,4460,2634,255
"Intermediación financiera (013)",780,,300,362,113,5
"Activid.inmobil., empres. y alquileres (014)",5693,4,2062,2551,998,78
"Admin.pub. y defensa; p. segur.soc.afil (015)",6203,,1657,2750,1733,63
"Enseñanza (016)",7933,,1573,4227,2044,89
"Servicios sociales y de salud (017)",2998,1,707,1374,866,50
"Otras activ. serv.comun.soc y personales (018)",3219,48,1209,1199,660,103
"Hogares privados con servicio doméstico (019)",3411,70,1903,926,476,36
"Organiz. y organos extraterritoriales (020)",4,,,2,2,
"Actividad economica no especificada (021)",3723,11,1336,1440,825,111
"Hombres (022)",64978,461,20494,25352,16153,2518
"Agric., ganadería, caza y silvicultura (023)",7933,97,2281,2452,2256,847
"Pesca (024)",502,1,168,187,128,18
"Explotación de minas y canteras (025)",270,,73,102,93,2
"Industrias manufactureras (026)",5186,46,2129,1803,1018,190
"Suministro de electricidad, gas y agua (027)",291,,61,133,92,5
"Construcción (028)",7927,22,2304,3329,2038,234
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",14492,142,5139,5534,3146,531
"Venta, mant.y rep. veh.autom.y motoc. (030)",4008,29,1764,1535,610,70
"Comercio al por mayor (031)",848,2,311,353,171,11
"Comercio al por menor (032)",9636,111,3064,3646,2365,450
"Hoteles y restaurantes (033)",2427,53,1068,677,536,93
"Trans., almac. y comunicaciones (034)",9786,51,2966,4054,2469,246
"Intermediación financiera (035)",401,,117,202,80,2
"Activid.inmobil., empres. y alquileres (036)",3863,3,1291,1742,765,62
