"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CAJAMARCA (000)",122362,278920,249254,,5644,89.4,2
"De 12 a 14 años (001)",10306,56,55,,8,98.2,14.3
"De 15 a 19 años (002)",16832,2333,2275,642,97.5,27.5,
"De 20 a 24 años (003)",17017,11677,11377,1501,97.4,12.9,
"De 25 a 29 años (004)",14540,19082,18470,1377,96.8,7.2,
"De 30 a 34 años (005)",12328,24795,23800,1100,96,4.4,
"De 35 a 39 años (006)",10837,30104,28550,690,94.8,2.3,
"De 40 a 44 años (007)",8840,30426,28352,284,93.2,0.9,
"De 45 a 49 años (008)",7377,30002,27413,42,91.4,0.1,
"De 50 y más años (009)",24285,130445,108962,,83.5,,
"Sin nivel (010)",23554,116999,96699,816,82.6,0.7,
"De 12 a 14 años (011)",187,5,5,,100,,
"De 15 a 19 años (012)",531,175,170,35,97.1,20,
"De 20 a 24 años (013)",1046,1275,1221,150,95.8,11.8,
"De 25 a 29 años (014)",1374,2724,2573,189,94.5,6.9,
"De 30 a 34 años (015)",1617,4553,4232,174,92.9,3.8,
"De 35 a 39 años (016)",2108,7741,7066,158,91.3,2,
"De 40 a 44 años (017)",2127,9925,8847,98,89.1,1,
"De 45 a 49 años (018)",2174,11856,10360,12,87.4,0.1,
"De 50 y más años (019)",12390,78745,62225,,79,,
"Educacion Inicial (020)",242,341,322,17,94.4,5,
"De 12 a 14 años (021)",34,1,1,,100,,
"De 15 a 19 años (022)",33,5,5,3,100,60,
"De 20 a 24 años (023)",44,35,34,2,97.1,5.7,
"De 25 a 29 años (024)",58,114,107,6,93.9,5.3,
"De 30 a 34 años (025)",42,98,92,5,93.9,5.1,
"De 35 a 39 años (026)",31,88,83,1,94.3,1.1,
"Primaria (030)",42185,94820,87416,2380,92.2,2.5,
"De 12 a 14 años (031)",5738,30,30,5,100,16.7,
"De 15 a 19 años (032)",5683,1152,1124,333,97.6,28.9,
"De 20 a 24 años (033)",5964,5691,5523,671,97,11.8,
"De 25 a 29 años (034)",5146,8840,8504,592,96.2,6.7,
"De 30 a 34 años (035)",4353,10851,10324,415,95.1,3.8,
"De 35 a 39 años (036)",3666,12119,11449,243,94.5,2,
"De 40 a 44 años (037)",2895,11575,10815,102,93.4,0.9,
