"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUARAL (000)",39427,161991,32491,135396,6936,26595
"Casa independiente (001)",35893,149183,29282,123732,6611,25451
"Departamento en edificio (002)",768,2702,768,2702,,
"Vivienda en quinta (003)",821,2903,821,2903,,
"Vivienda en casa de vecindad (004)",775,2909,775,2909,,
"Choza o cabaña (005)",312,1110,,,312,1110
"Vivienda improvisada (006)",781,2971,781,2971,,
"Local no dest.para hab. humana (007)",70,195,60,164,10,31
"Otro tipo (008)",7,18,4,15,3,3
