"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia MOHO (000)",11551,596,855,5900,58,3616,47,479
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",22,22,,,,,,
"Profes., científicos e intelectuales (002)",322,279,,37,1,5,,
"Técnicos de nivel medio y trab. asimilados (003)",51,32,,18,,1,,
"Jefes y empleados de oficina (004)",135,133,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",473,22,1,376,1,73,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5067,,1,5013,51,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",161,,40,104,,17,,
"Obreros construc.,conf.,papel, fab., instr. (008)",182,18,79,78,4,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",4417,27,704,172,,3467,47,
"Otra (010)",39,39,,,,,,
"Ocupación no especificada (011)",203,24,30,102,1,46,,
"Desocupado (012)",479,,,,,,,479
"Hombres (013)",6508,448,570,3770,34,1301,7,378
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",17,17,,,,,,
"Profes., científicos e intelectuales (015)",233,212,,17,,4,,
"Técnicos de nivel medio y trab. asimilados (016)",40,23,,16,,1,,
"Jefes y empleados de oficina (017)",98,97,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",183,13,,153,,17,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3351,,1,3317,31,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",123,,38,76,,9,,
"Obreros construc.,conf.,papel, fab., instr. (021)",180,18,79,77,3,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",1778,15,428,72,,1256,7,
"Otra (023)",39,39,,,,,,
"Ocupación no especificada (024)",88,14,24,42,,8,,
"Desocupado (025)",378,,,,,,,378
"Mujeres (026)",5043,148,285,2130,24,2315,40,101
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",5,5,,,,,,
"Profes., científicos e intelectuales (028)",89,67,,20,1,1,,
"Técnicos de nivel medio y trab. asimilados (029)",11,9,,2,,,,
"Jefes y empleados de oficina (030)",37,36,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",290,9,1,223,1,56,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",1716,,,1696,20,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",38,,2,28,,8,,
"Obreros construc.,conf.,papel, fab., instr. (034)",2,,,1,1,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",2639,12,276,100,,2211,40,
"Ocupación no especificada (037)",115,10,6,60,1,38,,
"Desocupado (038)",101,,,,,,,101
,,,,,,,,
"URBANA (039)",3035,383,135,1644,14,632,20,207
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",8,8,,,,,,
"Profes., científicos e intelectuales (041)",196,174,,19,,3,,
"Técnicos de nivel medio y trab. asimilados (042)",36,24,,11,,1,,
"Jefes y empleados de oficina (043)",82,82,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",359,13,,291,1,54,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1123,,,1112,10,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",78,,14,50,,14,,
"Obreros construc.,conf.,papel, fab., instr. (047)",87,11,37,37,2,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",733,19,60,84,,550,20,
"Otra (049)",36,36,,,,,,
"Ocupación no especificada (050)",90,16,24,40,1,9,,
"Desocupado (051)",207,,,,,,,207
"Hombres (052)",1799,276,119,995,7,235,5,162
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",4,4,,,,,,
"Profes., científicos e intelectuales (054)",138,126,,9,,3,,
"Técnicos de nivel medio y trab. asimilados (055)",29,19,,9,,1,,
"Jefes y empleados de oficina (056)",51,51,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",128,8,,108,,12,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",760,,,754,5,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",62,,14,40,,8,,
"Obreros construc.,conf.,papel, fab., instr. (060)",86,11,37,36,2,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",295,10,49,25,,206,5,
"Otra (062)",36,36,,,,,,
"Ocupación no especificada (063)",48,11,19,14,,4,,
"Desocupado (064)",162,,,,,,,162
"Mujeres (065)",1236,107,16,649,7,397,15,45
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",4,4,,,,,,
"Profes., científicos e intelectuales (067)",58,48,,10,,,,
"Técnicos de nivel medio y trab. asimilados (068)",7,5,,2,,,,
"Jefes y empleados de oficina (069)",31,31,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",231,5,,183,1,42,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",363,,,358,5,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",16,,,10,,6,,
"Obreros construc.,conf.,papel, fab., instr. (073)",1,,,1,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",438,9,11,59,,344,15,
"Ocupación no especificada (076)",42,5,5,26,1,5,,
"Desocupado (077)",45,,,,,,,45
,,,,,,,,
"RURAL (078)",8516,213,720,4256,44,2984,27,272
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",14,14,,,,,,
"Profes., científicos e intelectuales (080)",126,105,,18,1,2,,
"Técnicos de nivel medio y trab. asimilados (081)",15,8,,7,,,,
"Jefes y empleados de oficina (082)",53,51,,,,2,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",114,9,1,85,,19,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",3944,,1,3901,41,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",83,,26,54,,3,,
"Obreros construc.,conf.,papel, fab., instr. (086)",95,7,42,41,2,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",3684,8,644,88,,2917,27,
"Otra (088)",3,3,,,,,,
"Ocupación no especificada (089)",113,8,6,62,,37,,
"Desocupado (090)",272,,,,,,,272
"Hombres (091)",4709,172,451,2775,27,1066,2,216
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",13,13,,,,,,
"Profes., científicos e intelectuales (093)",95,86,,8,,1,,
"Técnicos de nivel medio y trab. asimilados (094)",11,4,,7,,,,
"Jefes y empleados de oficina (095)",47,46,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",55,5,,45,,5,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",2591,,1,2563,26,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",61,,24,36,,1,,
"Obreros construc.,conf.,papel, fab., instr. (099)",94,7,42,41,1,3,,
