"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia AREQUIPA (000)",823148,28646,70966,79557,86983,163555,132492,197233,63716
"Sabe leer y escribir (001)",759551,,56952,79172,86673,162741,131202,188726,54085
"No sabe leer y escribir (002)",63597,28646,14014,385,310,814,1290,8507,9631
"Hombres (004)",395106,14651,36304,40312,42854,78618,60915,91316,30136
"Sabe leer y escribir (005)",369557,,29072,40100,42704,78318,60636,90202,28525
"No sabe leer y escribir (006)",25549,14651,7232,212,150,300,279,1114,1611
"Mujeres (008)",428042,13995,34662,39245,44129,84937,71577,105917,33580
"Sabe leer y escribir (009)",389994,,27880,39072,43969,84423,70566,98524,25560
"No sabe leer y escribir (010)",38048,13995,6782,173,160,514,1011,7393,8020
,,,,,,,,,
"URBANA (012)",802911,27827,69091,77492,84989,159941,129450,192282,61839
"Sabe leer y escribir (013)",741706,,55525,77122,84696,159175,128251,184301,52636
"No sabe leer y escribir (014)",61205,27827,13566,370,293,766,1199,7981,9203
"Hombres (016)",384164,14215,35321,39257,41791,76629,59292,88614,29045
"Sabe leer y escribir (017)",359548,,28310,39053,41652,76341,59033,87610,27549
"No sabe leer y escribir (018)",24616,14215,7011,204,139,288,259,1004,1496
"Mujeres (020)",418747,13612,33770,38235,43198,83312,70158,103668,32794
"Sabe leer y escribir (021)",382158,,27215,38069,43044,82834,69218,96691,25087
"No sabe leer y escribir (022)",36589,13612,6555,166,154,478,940,6977,7707
,,,,,,,,,
"RURAL (024)",20237,819,1875,2065,1994,3614,3042,4951,1877
"Sabe leer y escribir (025)",17845,,1427,2050,1977,3566,2951,4425,1449
"No sabe leer y escribir (026)",2392,819,448,15,17,48,91,526,428
"Hombres (028)",10942,436,983,1055,1063,1989,1623,2702,1091
"Sabe leer y escribir (029)",10009,,762,1047,1052,1977,1603,2592,976
"No sabe leer y escribir (030)",933,436,221,8,11,12,20,110,115
"Mujeres (032)",9295,383,892,1010,931,1625,1419,2249,786
"Sabe leer y escribir (033)",7836,,665,1003,925,1589,1348,1833,473
"No sabe leer y escribir (034)",1459,383,227,7,6,36,71,416,313
