"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHUCUITO (000)",43840,39016,2303,632,1889
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",62,2,6,5,49
"Profes., científicos e intelectuales (002)",1948,440,509,373,626
"Técnicos de nivel medio y trab. asimilados (003)",490,255,59,16,160
"Jefes y empleados de oficina (004)",579,77,29,22,451
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",4262,3965,221,20,56
"Agricult.trabaj.calif.agrop.y pesqueros (006)",18018,17712,303,2,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1721,1523,155,24,19
"Obreros construc.,conf.,papel, fab., instr. (008)",3011,2518,337,71,85
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",12729,11814,646,87,182
"Otra (010)",246,,,,246
"Ocupación no especificada (011)",774,710,38,12,14
"Hombres (012)",27164,23531,1693,501,1439
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",53,1,6,3,43
"Profes., científicos e intelectuales (014)",1439,307,414,291,427
"Técnicos de nivel medio y trab. asimilados (015)",334,188,41,15,90
"Jefes y empleados de oficina (016)",407,50,22,17,318
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1505,1358,91,9,47
"Agricult.trabaj.calif.agrop.y pesqueros (018)",13248,12998,249,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",971,813,121,19,18
"Obreros construc.,conf.,papel, fab., instr. (020)",2945,2463,330,68,84
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",5652,5029,397,70,156
"Otra (022)",244,,,,244
"Ocupación no especificada (023)",366,324,22,8,12
"Mujeres (024)",16676,15485,610,131,450
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,1,,2,6
"Profes., científicos e intelectuales (026)",509,133,95,82,199
"Técnicos de nivel medio y trab. asimilados (027)",156,67,18,1,70
"Jefes y empleados de oficina (028)",172,27,7,5,133
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2757,2607,130,11,9
"Agricult.trabaj.calif.agrop.y pesqueros (030)",4770,4714,54,1,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",750,710,34,5,1
"Obreros construc.,conf.,papel, fab., instr. (032)",66,55,7,3,1
