"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia YAROWILCA (000)",7685,19,130,398,789,1390,3307,1652
"De 12 a 14 años (001)",11,,,,,,,11
"De 15 a 19 años (002)",230,,,,,,149,81
"De 20 a 24 años (003)",776,,,,,2,495,279
"De 25 a 29 años (004)",875,,,,,24,656,195
"De 30 a 34 años (005)",895,,,,,82,649,164
"De 35 a 39 años (006)",840,,,,1,161,562,116
"De 40 a 44 años (007)",799,,,,14,194,466,125
"De 45 a 49 años (008)",690,,,1,39,307,269,74
"De 50 y más años (009)",2569,19,130,397,735,620,61,607
"PEA (010)",2545,4,31,106,264,519,1078,543
"De 15 a 19 años (012)",69,,,,,,51,18
"De 20 a 24 años (013)",240,,,,,,147,93
"De 25 a 29 años (014)",300,,,,,9,218,73
"De 30 a 34 años (015)",296,,,,,36,207,53
"De 35 a 39 años (016)",306,,,,1,71,185,49
"De 40 a 44 años (017)",289,,,,7,79,162,41
"De 45 a 49 años (018)",233,,,1,18,103,87,24
"De 50 y más años (019)",812,4,31,105,238,221,21,192
"Ocupada (020)",2507,4,31,106,263,514,1064,525
"De 15 a 19 años (022)",69,,,,,,51,18
"De 20 a 24 años (023)",227,,,,,,143,84
"De 25 a 29 años (024)",287,,,,,9,212,66
"De 30 a 34 años (025)",296,,,,,36,207,53
"De 35 a 39 años (026)",302,,,,1,70,184,47
"De 40 a 44 años (027)",287,,,,7,78,161,41
"De 45 a 49 años (028)",230,,,1,18,102,85,24
"De 50 y más años (029)",809,4,31,105,237,219,21,192
"Desocupada (030)",38,,,,1,5,14,18
"De 20 a 24 años (033)",13,,,,,,4,9
"De 25 a 29 años (034)",13,,,,,,6,7
"De 35 a 39 años (036)",4,,,,,1,1,2
"De 40 a 44 años (037)",2,,,,,1,1,
"De 45 a 49 años (038)",3,,,,,1,2,
"De 50 y más años (039)",3,,,,1,2,,
"No PEA (040)",5140,15,99,292,525,871,2229,1109
"De 12 a 14 años (041)",11,,,,,,,11
"De 15 a 19 años (042)",161,,,,,,98,63
"De 20 a 24 años (043)",536,,,,,2,348,186
"De 25 a 29 años (044)",575,,,,,15,438,122
"De 30 a 34 años (045)",599,,,,,46,442,111
"De 35 a 39 años (046)",534,,,,,90,377,67
"De 40 a 44 años (047)",510,,,,7,115,304,84
"De 45 a 49 años (048)",457,,,,21,204,182,50
"De 50 y más años (049)",1757,15,99,292,497,399,40,415
,,,,,,,,
"URBANA (060)",1898,8,32,61,156,341,775,525
"De 12 a 14 años (061)",2,,,,,,,2
"De 15 a 19 años (062)",54,,,,,,36,18
