"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SANDIA (000)",14208,51,179,553,1338,3217,6011,2859
"De 12 a 14 años (001)",29,,,,,,1,28
"De 15 a 19 años (002)",423,,,,,,296,127
"De 20 a 24 años (003)",1559,,,,,2,1061,496
"De 25 a 29 años (004)",2071,,,,,116,1444,511
"De 30 a 34 años (005)",1846,,,,,332,1184,330
"De 35 a 39 años (006)",1901,,,,15,612,1028,246
"De 40 a 44 años (007)",1562,,,,55,683,633,191
"De 45 a 49 años (008)",1262,,,1,127,676,311,147
"De 50 y más años (009)",3555,51,179,552,1141,796,53,783
"Conviviente (010)",6060,7,5,38,155,944,3789,1122
"De 12 a 14 años (011)",19,,,,,,,19
"De 15 a 19 años (012)",322,,,,,,228,94
"De 20 a 24 años (013)",1142,,,,,2,864,276
"De 25 a 29 años (014)",1464,,,,,72,1106,286
"De 30 a 34 años (015)",1081,,,,,176,738,167
"De 35 a 39 años (016)",876,,,,7,254,511,104
"De 40 a 44 años (017)",502,,,,16,195,239,52
"De 45 a 49 años (018)",298,,,1,22,142,94,39
"De 50 y más años (019)",356,7,5,37,110,103,9,85
"Separado(a) (020)",592,,1,17,54,163,221,136
"De 12 a 14 años (021)",1,,,,,,1,
"De 15 a 19 años (022)",33,,,,,,24,9
"De 20 a 24 años (023)",78,,,,,,59,19
"De 25 a 29 años (024)",80,,,,,9,52,19
"De 30 a 34 años (025)",77,,,,,22,32,23
"De 35 a 39 años (026)",87,,,,1,41,29,16
"De 40 a 44 años (027)",75,,,,4,38,16,17
"De 45 a 49 años (028)",47,,,,6,24,7,10
"De 50 y más años (029)",114,,1,17,43,29,1,23
"Casado(a) (030)",5431,13,57,260,792,1816,1731,762
"De 12 a 14 años (031)",4,,,,,,,4
"De 15 a 19 años (032)",9,,,,,,5,4
"De 20 a 24 años (033)",94,,,,,,72,22
"De 25 a 29 años (034)",302,,,,,20,230,52
"De 30 a 34 años (035)",557,,,,,113,377,67
"De 35 a 39 años (036)",847,,,,6,286,462,93
"De 40 a 44 años (037)",873,,,,31,401,354,87
"De 45 a 49 años (038)",791,,,,82,445,191,73
"De 50 y más años (039)",1954,13,57,260,673,551,40,360
"Viudo(a) (040)",1276,31,110,232,311,205,78,309
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",1,,,,,,,1
"De 20 a 24 años (043)",7,,,,,,3,4
"De 25 a 29 años (044)",10,,,,,1,8,1
"De 30 a 34 años (045)",28,,,,,3,21,4
"De 35 a 39 años (046)",35,,,,1,18,11,5
"De 40 a 44 años (047)",63,,,,1,30,17,15
"De 45 a 49 años (048)",90,,,,12,49,16,13
