"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia GRAN CHIMU (000)",28432,1309,3118,3606,2809,4573,4146,6400,2471
"Sabe leer y escribir (001)",23622,,2182,3524,2718,4310,3836,5497,1555
"No sabe leer y escribir (002)",4810,1309,936,82,91,263,310,903,916
"Hombres (004)",15372,663,1556,1894,1496,2594,2327,3536,1306
"Sabe leer y escribir (005)",13297,,1067,1851,1452,2487,2220,3238,982
"No sabe leer y escribir (006)",2075,663,489,43,44,107,107,298,324
"Mujeres (008)",13060,646,1562,1712,1313,1979,1819,2864,1165
"Sabe leer y escribir (009)",10325,,1115,1673,1266,1823,1616,2259,573
"No sabe leer y escribir (010)",2735,646,447,39,47,156,203,605,592
,,,,,,,,,
"URBANA (012)",6204,220,588,782,659,950,910,1492,603
"Sabe leer y escribir (013)",5586,,443,777,655,925,887,1410,489
"No sabe leer y escribir (014)",618,220,145,5,4,25,23,82,114
"Hombres (016)",3094,126,304,391,322,478,438,751,284
"Sabe leer y escribir (017)",2830,,226,391,322,471,433,727,260
"No sabe leer y escribir (018)",264,126,78,,,7,5,24,24
"Mujeres (020)",3110,94,284,391,337,472,472,741,319
"Sabe leer y escribir (021)",2756,,217,386,333,454,454,683,229
"No sabe leer y escribir (022)",354,94,67,5,4,18,18,58,90
,,,,,,,,,
"RURAL (024)",22228,1089,2530,2824,2150,3623,3236,4908,1868
"Sabe leer y escribir (025)",18036,,1739,2747,2063,3385,2949,4087,1066
"No sabe leer y escribir (026)",4192,1089,791,77,87,238,287,821,802
"Hombres (028)",12278,537,1252,1503,1174,2116,1889,2785,1022
"Sabe leer y escribir (029)",10467,,841,1460,1130,2016,1787,2511,722
"No sabe leer y escribir (030)",1811,537,411,43,44,100,102,274,300
"Mujeres (032)",9950,552,1278,1321,976,1507,1347,2123,846
"Sabe leer y escribir (033)",7569,,898,1287,933,1369,1162,1576,344
"No sabe leer y escribir (034)",2381,552,380,34,43,138,185,547,502
