"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ANTA (000)",16657,364,4623,5546,4586,1538
"Agric., ganadería, caza y silvicultura (001)",9741,256,2213,3011,3004,1257
"Pesca (002)",2,1,1,,,
"Explotación de minas y canteras (003)",21,,9,8,4,
"Industrias manufactureras (004)",574,13,263,164,109,25
"Suministro de electricidad, gas y agua (005)",32,,17,10,5,
"Construcción (006)",1069,8,342,430,267,22
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1672,34,497,648,403,90
"Venta, mant.y rep. veh.autom.y motoc. (008)",202,,110,67,25,
"Comercio al por mayor (009)",64,1,19,26,14,4
"Comercio al por menor (010)",1406,33,368,555,364,86
"Hoteles y restaurantes (011)",581,18,188,170,152,53
"Trans., almac. y comunicaciones (012)",823,6,339,313,152,13
"Intermediación financiera (013)",6,,5,1,,
"Activid.inmobil., empres. y alquileres (014)",195,,65,84,40,6
"Admin.pub. y defensa; p. segur.soc.afil (015)",452,,142,184,119,7
"Enseñanza (016)",521,,162,231,124,4
"Servicios sociales y de salud (017)",122,,57,48,16,1
"Otras activ. serv.comun.soc y personales (018)",178,5,76,60,34,3
"Hogares privados con servicio doméstico (019)",186,20,115,22,26,3
"Actividad economica no especificada (021)",482,3,132,162,131,54
"Hombres (022)",12217,256,3233,4084,3457,1187
"Agric., ganadería, caza y silvicultura (023)",8075,194,1777,2538,2502,1064
"Pesca (024)",1,1,,,,
"Explotación de minas y canteras (025)",20,,8,8,4,
"Industrias manufactureras (026)",434,6,195,124,91,18
"Suministro de electricidad, gas y agua (027)",31,,16,10,5,
"Construcción (028)",1053,8,330,426,267,22
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",656,20,241,226,137,32
"Venta, mant.y rep. veh.autom.y motoc. (030)",188,,103,62,23,
"Comercio al por mayor (031)",32,1,9,11,9,2
"Comercio al por menor (032)",436,19,129,153,105,30
"Hoteles y restaurantes (033)",100,6,58,21,12,3
"Trans., almac. y comunicaciones (034)",769,6,304,299,147,13
"Intermediación financiera (035)",2,,1,1,,
"Activid.inmobil., empres. y alquileres (036)",154,,51,65,33,5
"Admin.pub. y defensa; p. segur.soc.afil (037)",354,,93,149,106,6
"Enseñanza (038)",254,,52,111,88,3
"Servicios sociales y de salud (039)",45,,16,20,8,1
"Otras activ. serv.comun.soc y personales (040)",98,4,32,36,23,3
