"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUAYLAS (000)",50297,2586,6390,7019,5130,7693,6781,10346,4352
"Sin nivel (001)",11447,2586,1255,160,268,851,1251,2975,2101
"Educación inicial (002)",1448,,1353,24,9,38,24,,
"Primaria (003)",23549,,3782,5611,1852,3090,2943,4534,1737
"Secundaria (004)",9151,,,1224,2778,2295,1304,1301,249
"Superior no univ. incompleto (005)",973,,,,125,421,206,207,14
"Superior no univ. completo (006)",1830,,,,,487,588,636,119
"Superior univ. incompleto (007)",687,,,,98,301,102,165,21
"Superior univ. completo (008)",1212,,,,,210,363,528,111
"Hombres (010)",24734,1297,3267,3569,2598,3743,3296,5049,1915
"Sin nivel (011)",4090,1297,652,70,84,201,344,860,582
"Educación inicial (012)",720,,690,10,2,15,3,,
"Primaria (013)",12092,,1925,2831,857,1462,1497,2495,1025
"Secundaria (014)",5360,,,658,1557,1396,804,793,152
"Superior no univ. incompleto (015)",518,,,,57,207,107,135,12
"Superior no univ. completo (016)",875,,,,,210,276,328,61
"Superior univ. incompleto (017)",392,,,,41,162,62,114,13
"Superior univ. completo (018)",687,,,,,90,203,324,70
"Mujeres (020)",25563,1289,3123,3450,2532,3950,3485,5297,2437
"Sin nivel (021)",7357,1289,603,90,184,650,907,2115,1519
"Educación inicial (022)",728,,663,14,7,23,21,,
"Primaria (023)",11457,,1857,2780,995,1628,1446,2039,712
"Secundaria (024)",3791,,,566,1221,899,500,508,97
"Superior no univ. incompleto (025)",455,,,,68,214,99,72,2
"Superior no univ. completo (026)",955,,,,,277,312,308,58
"Superior univ. incompleto (027)",295,,,,57,139,40,51,8
"Superior univ. completo (028)",525,,,,,120,160,204,41
,,,,,,,,,
"URBANA (030)",16529,686,1707,1915,1711,2840,2464,3816,1390
"Sin nivel (031)",1885,686,209,23,26,104,119,361,357
"Educación inicial (032)",427,,412,2,1,9,3,,
"Primaria (033)",5833,,1086,1349,298,575,629,1274,622
"Secundaria (034)",4573,,,541,1229,1062,692,867,182
"Superior no univ. incompleto (035)",699,,,,79,288,154,165,13
"Superior no univ. completo (036)",1436,,,,,374,447,519,96
