"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",10098,1769,2676,3790,64,1745,54
"Agric., ganadería, caza y silvicultura (001)",5566,29,1032,2850,47,1608,
"Pesca (002)",100,,34,66,,,
"Explotación de minas y canteras (003)",542,163,359,20,,,
"Industrias manufactureras (004)",151,7,38,89,3,14,
"Suministro de electricidad, gas y agua (005)",32,4,27,1,,,
"Construcción (006)",736,26,637,61,6,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",434,40,13,336,5,40,
"Venta, mant.y rep. veh.autom y motoc. (008)",41,6,13,15,4,3,
"Comercio al por mayor (009)",20,3,,17,,,
"Comercio al por menor (010)",373,31,,304,1,37,
"Hoteles y restaurantes (011)",117,34,14,67,,2,
"Trans., almac. y comunicaciones (012)",196,48,29,112,,7,
"Intermediación financiera (013)",3,3,,,,,
"Activid.inmobil., empres. y alquileres (014)",124,104,6,13,,1,
"Admin.pub. y defensa; p. segur soc.afil (015)",610,368,242,,,,
"Enseñanza (016)",769,725,,40,1,3,
"Servicios sociales y de salud (017)",117,111,1,5,,,
"Otras activ. serv.comun.soc y personales (018)",53,32,7,14,,,
"Hogares privados con servicio doméstico (019)",54,,,,,,54
"Actividad economica no especificada (021)",494,75,237,116,2,64,
"Hombres (022)",7047,1088,2109,2953,49,834,14
"Agric., ganadería, caza y silvicultura (023)",3850,28,610,2393,34,785,
"Pesca (024)",99,,34,65,,,
"Explotación de minas y canteras (025)",521,157,354,10,,,
"Industrias manufactureras (026)",104,6,31,57,3,7,
"Suministro de electricidad, gas y agua (027)",28,4,23,1,,,
"Construcción (028)",700,24,604,60,6,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",187,17,13,148,3,6,
"Venta, mant.y rep. veh.autom y motoc. (030)",36,5,13,13,3,2,
"Comercio al por mayor (031)",14,2,,12,,,
"Comercio al por menor (032)",137,10,,123,,4,
"Hoteles y restaurantes (033)",32,16,6,10,,,
"Trans., almac. y comunicaciones (034)",177,37,26,109,,5,
"Intermediación financiera (035)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (036)",95,82,4,9,,,
"Admin.pub. y defensa; p. segur soc.afil (037)",493,276,217,,,,
"Enseñanza (038)",343,326,,14,1,2,
"Servicios sociales y de salud (039)",54,51,,3,,,
"Otras activ. serv.comun.soc y personales (040)",31,20,4,7,,,
"Hogares privados con servicio doméstico (041)",14,,,,,,14
"Actividad economica no especificada (043)",317,42,183,67,2,23,
"Mujeres (044)",3051,681,567,837,15,911,40
"Agric., ganadería, caza y silvicultura (045)",1716,1,422,457,13,823,
"Pesca (046)",1,,,1,,,
"Explotación de minas y canteras (047)",21,6,5,10,,,
"Industrias manufactureras (048)",47,1,7,32,,7,
"Suministro de electricidad, gas y agua (049)",4,,4,,,,
"Construcción (050)",36,2,33,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",247,23,,188,2,34,
"Venta, mant.y rep. veh.autom y motoc. (052)",5,1,,2,1,1,
"Comercio al por mayor (053)",6,1,,5,,,
"Comercio al por menor (054)",236,21,,181,1,33,
"Hoteles y restaurantes (055)",85,18,8,57,,2,
"Trans., almac. y comunicaciones (056)",19,11,3,3,,2,
"Intermediación financiera (057)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (058)",29,22,2,4,,1,
"Admin.pub. y defensa; p. segur soc.afil (059)",117,92,25,,,,
"Enseñanza (060)",426,399,,26,,1,
"Servicios sociales y de salud (061)",63,60,1,2,,,
"Otras activ. serv.comun.soc y personales (062)",22,12,3,7,,,
"Hogares privados con servicio doméstico (063)",40,,,,,,40
"Actividad economica no especificada (065)",177,33,54,49,,41,
,,,,,,,
"URBANA (066)",4607,1127,1093,1579,40,727,41
"Agric., ganadería, caza y silvicultura (067)",2226,16,475,1066,32,637,
"Pesca (068)",12,,2,10,,,
"Explotación de minas y canteras (069)",12,4,8,,,,
"Industrias manufactureras (070)",101,6,27,53,2,13,
"Suministro de electricidad, gas y agua (071)",27,4,22,1,,,
"Construcción (072)",383,22,327,29,1,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",291,31,9,216,4,31,
"Venta, mant.y rep. veh.autom y motoc. (074)",29,5,9,9,3,3,
"Comercio al por mayor (075)",9,2,,7,,,
"Comercio al por menor (076)",253,24,,200,1,28,
"Hoteles y restaurantes (077)",72,18,3,49,,2,
"Trans., almac. y comunicaciones (078)",110,30,16,58,,6,
"Intermediación financiera (079)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (080)",58,48,3,6,,1,
"Admin.pub. y defensa; p. segur soc.afil (081)",378,291,87,,,,
"Enseñanza (082)",530,498,,29,1,2,
"Servicios sociales y de salud (083)",89,85,,4,,,
"Otras activ. serv.comun.soc y personales (084)",37,20,4,13,,,
"Hogares privados con servicio doméstico (085)",41,,,,,,41
"Actividad economica no especificada (087)",238,52,110,45,,31,
"Hombres (088)",2993,658,828,1148,30,317,12
"Agric., ganadería, caza y silvicultura (089)",1484,16,277,880,24,287,
"Pesca (090)",12,,2,10,,,
"Explotación de minas y canteras (091)",12,4,8,,,,
"Industrias manufactureras (092)",66,5,21,32,2,6,
"Suministro de electricidad, gas y agua (093)",23,4,18,1,,,
"Construcción (094)",366,20,313,28,1,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",119,13,9,90,2,5,
"Venta, mant.y rep. veh.autom y motoc. (096)",25,4,9,8,2,2,
"Comercio al por mayor (097)",5,1,,4,,,
"Comercio al por menor (098)",89,8,,78,,3,
"Hoteles y restaurantes (099)",15,8,,7,,,
"Trans., almac. y comunicaciones (100)",99,24,15,56,,4,
"Intermediación financiera (101)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (102)",40,33,2,5,,,
"Admin.pub. y defensa; p. segur soc.afil (103)",304,224,80,,,,
"Enseñanza (104)",238,225,,11,1,1,
"Servicios sociales y de salud (105)",41,38,,3,,,
"Otras activ. serv.comun.soc y personales (106)",22,14,2,6,,,
"Hogares privados con servicio doméstico (107)",12,,,,,,12
"Actividad economica no especificada (109)",139,29,81,19,,10,
"Mujeres (110)",1614,469,265,431,10,410,29
"Agric., ganadería, caza y silvicultura (111)",742,,198,186,8,350,
"Industrias manufactureras (114)",35,1,6,21,,7,
"Suministro de electricidad, gas y agua (115)",4,,4,,,,
"Construcción (116)",17,2,14,1,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",172,18,,126,2,26,
"Venta, mant.y rep. veh.autom y motoc. (118)",4,1,,1,1,1,
"Comercio al por mayor (119)",4,1,,3,,,
"Comercio al por menor (120)",164,16,,122,1,25,
"Hoteles y restaurantes (121)",57,10,3,42,,2,
"Trans., almac. y comunicaciones (122)",11,6,1,2,,2,
"Intermediación financiera (123)",1,1,,,,,
"Activid.inmobil., empres. y alquileres (124)",18,15,1,1,,1,
