"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAMPA (000)",12830,12108,94,2564,2439,1926,2712,1498,715,160,722,42453
"De 12 a 14 años (001)",18,12,1,8,3,,,,,,6,14
"De 15 a 19 años (002)",291,264,10,222,28,4,,,,,27,290
"De 20 a 24 años (003)",1305,1062,15,711,260,63,12,1,,,243,1475
"De 25 a 29 años (004)",1536,1341,9,523,498,209,97,4,1,,195,2583
"De 30 a 34 años (005)",1411,1318,10,307,441,292,229,36,2,1,93,3297
"De 35 a 39 años (006)",1448,1395,6,207,339,320,392,108,23,,53,4449
"De 40 a 44 años (007)",1246,1220,8,109,216,243,379,183,68,14,26,4805
"De 45 a 49 años (008)",1096,1081,3,93,163,186,303,216,99,18,15,4740
"De 50 y más años (009)",4479,4415,32,384,491,609,1300,950,522,127,64,20800
"Conviviente (010)",3673,3558,35,1313,995,491,486,164,69,5,115,8551
"De 12 a 14 años (011)",10,5,1,4,,,,,,,5,4
"De 15 a 19 años (012)",222,198,8,162,24,4,,,,,24,222
"De 20 a 24 años (013)",844,801,11,526,208,46,9,1,,,43,1123
"De 25 a 29 años (014)",870,852,4,328,330,126,61,3,,,18,1638
"De 30 a 34 años (015)",624,614,3,146,215,132,99,17,1,1,10,1518
"De 35 a 39 años (016)",426,417,5,72,105,82,115,32,6,,9,1292
"De 40 a 44 años (017)",263,258,2,25,48,40,83,40,19,1,5,1026
"De 45 a 49 años (018)",157,157,,15,28,31,40,25,18,,,654
"De 50 y más años (019)",257,256,1,35,37,30,79,46,25,3,1,1074
"Separado(a) (020)",673,661,6,235,148,99,126,35,8,4,12,1706
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",17,14,,14,,,,,,,3,14
