"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PATAZ (000)",22552,15501,1337,1121,4593
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",72,,5,11,56
"Profes., científicos e intelectuales (002)",1516,337,308,281,590
"Técnicos de nivel medio y trab. asimilados (003)",532,142,41,70,279
"Jefes y empleados de oficina (004)",560,84,44,42,390
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1268,1077,65,17,109
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7659,7577,75,1,6
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",4043,1553,285,286,1919
"Obreros construc.,conf.,papel, fab., instr. (008)",1088,550,147,157,234
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4980,3615,292,209,864
"Otra (010)",39,,,,39
"Ocupación no especificada (011)",795,566,75,47,107
"Hombres (012)",19156,12924,1080,946,4206
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",61,,3,9,49
"Profes., científicos e intelectuales (014)",878,158,171,164,385
"Técnicos de nivel medio y trab. asimilados (015)",458,114,39,60,245
"Jefes y empleados de oficina (016)",368,40,21,21,286
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",586,442,31,14,99
"Agricult.trabaj.calif.agrop.y pesqueros (018)",7322,7245,70,1,6
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",3964,1494,277,283,1910
"Obreros construc.,conf.,papel, fab., instr. (020)",1082,546,145,157,234
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3967,2658,265,193,851
"Otra (022)",39,,,,39
"Ocupación no especificada (023)",431,227,58,44,102
"Mujeres (024)",3396,2577,257,175,387
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",11,,2,2,7
"Profes., científicos e intelectuales (026)",638,179,137,117,205
"Técnicos de nivel medio y trab. asimilados (027)",74,28,2,10,34
"Jefes y empleados de oficina (028)",192,44,23,21,104
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",682,635,34,3,10
"Agricult.trabaj.calif.agrop.y pesqueros (030)",337,332,5,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",79,59,8,3,9
"Obreros construc.,conf.,papel, fab., instr. (032)",6,4,2,,
