"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia UTCUBAMBA (000)",109043,107170,1384,489
"Hombres (001)",56969,56220,494,255
"Mujeres (002)",52074,50950,890,234
"Menores de 1 año (003)",2255,1883,259,113
"Hombres (004)",1165,976,130,59
"Mujeres (005)",1090,907,129,54
"De 1 a 5 años (006)",12816,12075,409,332
"Hombres (007)",6596,6194,218,184
"Mujeres (008)",6220,5881,191,148
"De 6 a 14 años (009)",25399,25347,41,11
"Hombres (010)",12916,12890,22,4
"Mujeres (011)",12483,12457,19,7
"De 15 a 29 años (012)",29440,29381,51,8
"Hombres (013)",15428,15410,16,2
"Mujeres (014)",14012,13971,35,6
"De 30 a 44 años (015)",20370,20285,80,5
"Hombres (016)",10622,10605,14,3
"Mujeres (017)",9748,9680,66,2
"De 45 a 64 años (018)",13838,13618,210,10
"Hombres (019)",7468,7430,35,3
"Mujeres (020)",6370,6188,175,7
"De 65 a más años (021)",4925,4581,334,10
"Hombres (022)",2774,2715,59,
"Mujeres (023)",2151,1866,275,10
,,,,
"URBANA (024)",47064,46385,490,189
"Hombres (025)",24329,24036,194,99
"Mujeres (026)",22735,22349,296,90
"Menores de 1 año (027)",855,728,85,42
"Hombres (028)",434,376,35,23
"Mujeres (029)",421,352,50,19
"De 1 a 5 años (030)",4920,4588,191,141
"Hombres (031)",2592,2409,108,75
"Mujeres (032)",2328,2179,83,66
"De 6 a 14 años (033)",9951,9934,16,1
"Hombres (034)",5016,5004,12,
"Mujeres (035)",4935,4930,4,1
"De 15 a 29 años (036)",13153,13142,11,
"Hombres (037)",6780,6777,3,
"Mujeres (038)",6373,6365,8,
"De 30 a 44 años (039)",9725,9707,18,
"Hombres (040)",4907,4902,5,
"Mujeres (041)",4818,4805,13,
"De 45 a 64 años (042)",6360,6302,55,3
"Hombres (043)",3445,3435,9,1
"Mujeres (044)",2915,2867,46,2
"De 65 a más años (045)",2100,1984,114,2
"Hombres (046)",1155,1133,22,
"Mujeres (047)",945,851,92,2
,,,,
"RURAL (048)",61979,60785,894,300
"Hombres (049)",32640,32184,300,156
"Mujeres (050)",29339,28601,594,144
"Menores de 1 año (051)",1400,1155,174,71
"Hombres (052)",731,600,95,36
"Mujeres (053)",669,555,79,35
"De 1 a 5 años (054)",7896,7487,218,191
"Hombres (055)",4004,3785,110,109
"Mujeres (056)",3892,3702,108,82
"De 6 a 14 años (057)",15448,15413,25,10
"Hombres (058)",7900,7886,10,4
"Mujeres (059)",7548,7527,15,6
"De 15 a 29 años (060)",16287,16239,40,8
"Hombres (061)",8648,8633,13,2
"Mujeres (062)",7639,7606,27,6
"De 30 a 44 años (063)",10645,10578,62,5
"Hombres (064)",5715,5703,9,3
"Mujeres (065)",4930,4875,53,2
"De 45 a 64 años (066)",7478,7316,155,7
"Hombres (067)",4023,3995,26,2
"Mujeres (068)",3455,3321,129,5
"De 65 a más años (069)",2825,2597,220,8
"Hombres (070)",1619,1582,37,
"Mujeres (071)",1206,1015,183,8
