"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TRUJILLO (000)",13222,148,7064,3592,2070,348
"Conviviente (001)",2912,3,1159,1115,556,79
"Separado(a) (002)",503,,162,200,132,9
"Casado(a) (003)",2344,1,304,912,943,184
"Viudo(a) (004)",157,,8,25,73,51
"Divorciado(a) (005)",61,,8,25,26,2
"Soltero(a) (006)",7245,144,5423,1315,340,23
"Hombres (008)",8423,105,4185,2213,1618,302
"Conviviente (009)",1985,3,661,780,467,74
"Separado(a) (010)",205,,44,74,80,7
"Casado(a) (011)",1645,,141,556,782,166
"Viudo(a) (012)",83,,3,12,33,35
"Divorciado(a) (013)",35,,6,10,19,
"Soltero(a) (014)",4470,102,3330,781,237,20
"Mujeres (016)",4799,43,2879,1379,452,46
"Conviviente (017)",927,,498,335,89,5
"Separado(a) (018)",298,,118,126,52,2
"Casado(a) (019)",699,1,163,356,161,18
"Viudo(a) (020)",74,,5,13,40,16
"Divorciado(a) (021)",26,,2,15,7,2
"Soltero(a) (022)",2775,42,2093,534,103,3
,,,,,,
"AREA URBANA (024)",12946,135,6910,3536,2026,339
"Conviviente (025)",2854,3,1139,1093,544,75
"Separado(a) (026)",498,,159,200,130,9
"Casado(a) (027)",2295,1,301,890,922,181
"Viudo(a) (028)",153,,8,25,71,49
"Divorciado(a) (029)",61,,8,25,26,2
"Soltero(a) (030)",7085,131,5295,1303,333,23
"Hombres (032)",8203,92,4074,2167,1577,293
"Conviviente (033)",1936,3,646,762,455,70
"Separado(a) (034)",204,,44,74,79,7
"Casado(a) (035)",1600,,139,537,761,163
"Viudo(a) (036)",81,,3,12,33,33
"Divorciado(a) (037)",35,,6,10,19,
"Soltero(a) (038)",4347,89,3236,772,230,20
"Mujeres (040)",4743,43,2836,1369,449,46
"Conviviente (041)",918,,493,331,89,5
"Separado(a) (042)",294,,115,126,51,2
"Casado(a) (043)",695,1,162,353,161,18
"Viudo(a) (044)",72,,5,13,38,16
"Divorciado(a) (045)",26,,2,15,7,2
"Soltero(a) (046)",2738,42,2059,531,103,3
,,,,,,
"AREA RURAL (048)",276,13,154,56,44,9
"Conviviente (049)",58,,20,22,12,4
"Separado(a) (050)",5,,3,,2,
"Casado(a) (051)",49,,3,22,21,3
"Viudo(a) (052)",4,,,,2,2
"Soltero(a) (054)",160,13,128,12,7,
"Hombres (056)",220,13,111,46,41,9
"Conviviente (057)",49,,15,18,12,4
"Separado(a) (058)",1,,,,1,
"Casado(a) (059)",45,,2,19,21,3
"Viudo(a) (060)",2,,,,,2
"Soltero(a) (062)",123,13,94,9,7,
"Mujeres (064)",56,,43,10,3,
"Conviviente (065)",9,,5,4,,
"Separado(a) (066)",4,,3,,1,
"Casado(a) (067)",4,,1,3,,
"Viudo(a) (068)",2,,,,2,
"Soltero(a) (070)",37,,34,3,,
