"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANDARAVE (000)",2443,2367,10,521,580,405,473,261,101,16,76,7660
"De 12 a 14 años (001)",2,,,,,,,,,,2,
"De 15 a 19 años (002)",53,51,,45,5,,1,,,,2,59
"De 20 a 24 años (003)",205,180,,141,31,8,,,,,25,227
"De 25 a 29 años (004)",263,246,3,117,89,29,7,,1,,17,420
"De 30 a 34 años (005)",308,299,,75,129,65,27,3,,,9,663
"De 35 a 39 años (006)",275,266,1,39,105,67,47,7,,,9,691
"De 40 a 44 años (007)",251,248,,20,78,58,68,18,6,,3,812
"De 45 a 49 años (008)",219,217,,18,41,60,60,34,4,,2,788
"De 50 y más años (009)",867,860,6,66,102,118,263,199,90,16,7,4000
"Sin nivel (010)",542,538,3,33,61,82,165,125,63,6,4,2535
"De 20 a 24 años (013)",1,,,,,,,,,,1,
"De 30 a 34 años (015)",15,15,,1,9,,5,,,,,41
"De 35 a 39 años (016)",14,14,,2,3,7,,2,,,,41
"De 40 a 44 años (017)",36,35,,2,5,9,13,4,2,,1,138
"De 45 a 49 años (018)",34,34,,,3,12,6,12,1,,,154
"De 50 y más años (019)",442,440,3,28,41,54,141,107,60,6,2,2161
"Educacion Inicial (020)",2,2,,,1,,1,,,,,6
"De 30 a 34 años (025)",1,1,,,,,1,,,,,4
"De 35 a 39 años (026)",1,1,,,1,,,,,,,2
"Primaria (030)",992,982,4,137,228,195,244,127,38,9,10,3469
"De 12 a 14 años (031)",2,,,,,,,,,,2,
"De 15 a 19 años (032)",9,9,,7,1,,1,,,,,13
"De 20 a 24 años (033)",27,25,,16,6,3,,,,,2,37
"De 25 a 29 años (034)",61,60,,22,28,6,3,,1,,1,117
