"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia UTCUBAMBA (000)",36395,35616,10696,4897,4684,3556,4736,3090,2127,1830,779,104541
"De 12 a 14 años (001)",4114,4095,4077,15,3,,,,,,19,21
"De 15 a 19 años (002)",5294,5180,4212,835,117,11,5,,,,114,1122
"De 20 a 24 años (003)",4513,4259,1260,1693,956,277,68,5,,,254,4751
"De 25 a 29 años (004)",4205,4022,491,1076,1208,780,422,42,3,,183,7920
"De 30 a 34 años (005)",3724,3655,211,556,979,816,851,201,31,10,69,10316
"De 35 a 39 años (006)",3352,3305,148,287,578,631,1016,461,154,30,47,12381
"De 40 a 44 años (007)",2672,2643,85,144,357,402,783,502,262,108,29,12148
"De 45 a 49 años (008)",2205,2190,60,98,187,280,516,508,336,205,15,11998
"De 50 y más años (009)",6316,6267,152,193,299,359,1075,1371,1341,1477,49,43884
"Conviviente (010)",13771,13573,1021,3015,2792,2013,2351,1193,712,476,198,44032
"De 12 a 14 años (011)",65,50,39,10,1,,,,,,15,12
"De 15 a 19 años (012)",1214,1123,394,618,98,9,4,,,,91,857
"De 20 a 24 años (013)",2505,2453,285,1164,733,215,54,2,,,52,3514
"De 25 a 29 años (014)",2583,2560,143,679,824,569,315,28,2,,23,5571
"De 30 a 34 años (015)",2120,2114,47,282,573,535,536,118,18,5,6,6318
"De 35 a 39 años (016)",1739,1735,40,114,303,328,589,258,91,12,4,6843
"De 40 a 44 años (017)",1185,1184,21,63,136,171,375,243,133,42,1,5650
"De 45 a 49 años (018)",857,855,12,37,55,99,208,202,151,91,2,4965
"De 50 y más años (019)",1503,1499,40,48,69,87,270,342,317,326,4,10302
"Separado(a) (020)",1761,1740,26,470,322,230,297,199,113,83,21,6268
"De 12 a 14 años (021)",5,2,1,1,,,,,,,3,1
