"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CUSCO (000)",5889,56,2900,1855,943,135
"Conviviente (001)",1750,6,820,731,177,16
"Separado(a) (002)",229,1,62,105,56,5
"Casado(a) (003)",1245,,111,521,533,80
"Viudo(a) (004)",89,,2,14,50,23
"Divorciado(a) (005)",43,,4,11,24,4
"Soltero(a) (006)",2533,49,1901,473,103,7
"Hombres (008)",3239,32,1461,1003,634,109
"Conviviente (009)",944,3,358,432,135,16
"Separado(a) (010)",72,1,8,32,27,4
"Casado(a) (011)",755,,45,260,380,70
"Viudo(a) (012)",39,,,4,22,13
"Divorciado(a) (013)",18,,,4,11,3
"Soltero(a) (014)",1411,28,1050,271,59,3
"Mujeres (016)",2650,24,1439,852,309,26
"Conviviente (017)",806,3,462,299,42,
"Separado(a) (018)",157,,54,73,29,1
"Casado(a) (019)",490,,66,261,153,10
"Viudo(a) (020)",50,,2,10,28,10
"Divorciado(a) (021)",25,,4,7,13,1
"Soltero(a) (022)",1122,21,851,202,44,4
,,,,,,
"AREA URBANA (024)",5767,54,2834,1823,925,131
"Conviviente (025)",1715,6,802,720,171,16
"Separado(a) (026)",227,1,61,104,56,5
"Casado(a) (027)",1215,,109,507,522,77
"Viudo(a) (028)",85,,2,12,49,22
"Divorciado(a) (029)",43,,4,11,24,4
"Soltero(a) (030)",2482,47,1856,469,103,7
"Hombres (032)",3147,30,1416,978,618,105
"Conviviente (033)",922,3,349,424,130,16
"Separado(a) (034)",71,1,8,31,27,4
"Casado(a) (035)",728,,43,248,370,67
"Viudo(a) (036)",36,,,3,21,12
"Divorciado(a) (037)",18,,,4,11,3
"Soltero(a) (038)",1372,26,1016,268,59,3
"Mujeres (040)",2620,24,1418,845,307,26
"Conviviente (041)",793,3,453,296,41,
"Separado(a) (042)",156,,53,73,29,1
"Casado(a) (043)",487,,66,259,152,10
"Viudo(a) (044)",49,,2,9,28,10
"Divorciado(a) (045)",25,,4,7,13,1
"Soltero(a) (046)",1110,21,840,201,44,4
,,,,,,
"AREA RURAL (048)",122,2,66,32,18,4
"Conviviente (049)",35,,18,11,6,
"Separado(a) (050)",2,,1,1,,
"Casado(a) (051)",30,,2,14,11,3
"Viudo(a) (052)",4,,,2,1,1
"Soltero(a) (054)",51,2,45,4,,
"Hombres (056)",92,2,45,25,16,4
"Conviviente (057)",22,,9,8,5,
"Separado(a) (058)",1,,,1,,
"Casado(a) (059)",27,,2,12,10,3
"Viudo(a) (060)",3,,,1,1,1
"Soltero(a) (062)",39,2,34,3,,
"Mujeres (064)",30,,21,7,2,
"Conviviente (065)",13,,9,3,1,
"Separado(a) (066)",1,,1,,,
"Casado(a) (067)",3,,,2,1,
"Viudo(a) (068)",1,,,1,,
"Soltero(a) (070)",12,,11,1,,
