"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia RECUAY (000)",5503,3975,483,432,613
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",38,1,1,3,33
"Profes., científicos e intelectuales (002)",490,98,68,141,183
"Técnicos de nivel medio y trab. asimilados (003)",165,59,18,28,60
"Jefes y empleados de oficina (004)",195,31,17,27,120
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",569,527,26,13,3
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1509,1473,36,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",346,188,64,64,30
"Obreros construc.,conf.,papel, fab., instr. (008)",488,307,77,52,52
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1548,1181,172,101,94
"Otra (010)",37,,,,37
"Ocupación no especificada (011)",118,110,4,3,1
"Hombres (012)",3934,2774,385,351,424
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",25,,1,3,21
"Profes., científicos e intelectuales (014)",280,48,41,90,101
"Técnicos de nivel medio y trab. asimilados (015)",121,44,14,23,40
"Jefes y empleados de oficina (016)",111,16,5,19,71
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",204,180,11,11,2
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1310,1279,31,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",317,166,61,62,28
"Obreros construc.,conf.,papel, fab., instr. (020)",482,305,77,51,49
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1002,695,141,91,75
"Otra (022)",36,,,,36
"Ocupación no especificada (023)",46,41,3,1,1
"Mujeres (024)",1569,1201,98,81,189
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",13,1,,,12
"Profes., científicos e intelectuales (026)",210,50,27,51,82
"Técnicos de nivel medio y trab. asimilados (027)",44,15,4,5,20
"Jefes y empleados de oficina (028)",84,15,12,8,49
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",365,347,15,2,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",199,194,5,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",29,22,3,2,2
"Obreros construc.,conf.,papel, fab., instr. (032)",6,2,,1,3
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",546,486,31,10,19
"Otra (034)",1,,,,1
