"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia JAEN (000)",95483,49790,429,1049,40388,1541,94,272,7,1913
"Hombres (001)",33011,25235,262,617,4799,835,83,149,6,1025
"Mujeres (002)",62472,24555,167,432,35589,706,11,123,1,888
"De 06 a 14 años (003)",39831,37685,,,1155,511,2,41,,437
"Hombres (004)",20051,19221,,,362,274,2,18,,174
"Mujeres (005)",19780,18464,,,793,237,,23,,263
"De 15 a 29 años (006)",27159,11680,19,264,14421,,50,64,7,654
"Hombres (007)",8137,5868,6,138,1706,,45,35,6,333
"Mujeres (008)",19022,5812,13,126,12715,,5,29,1,321
"De 30 a 44 años (009)",13242,327,37,197,12225,,19,62,,375
"Hombres (010)",1611,112,17,109,1095,,16,31,,231
"Mujeres (011)",11631,215,20,88,11130,,3,31,,144
"De 45 a 64 años (012)",9775,89,184,261,8863,37,16,50,,275
"Hombres (013)",1448,28,104,145,925,24,15,30,,177
"Mujeres (014)",8327,61,80,116,7938,13,1,20,,98
"De 65 y más años (015)",5476,9,189,327,3724,993,7,55,,172
"Hombres (016)",1764,6,135,225,711,537,5,35,,110
"Mujeres (017)",3712,3,54,102,3013,456,2,20,,62
,,,,,,,,,,
"AREA URBANA (018)",46239,24712,374,682,18510,802,27,88,5,1039
"Hombres (019)",16677,12096,227,335,3014,409,18,51,4,523
"Mujeres (020)",29562,12616,147,347,15496,393,9,37,1,516
"De 06 a 14 años (021)",17666,16733,,,531,239,1,10,,152
"Hombres (022)",8772,8365,,,216,127,1,2,,61
"Mujeres (023)",8894,8368,,,315,112,,8,,91
"De 15 a 29 años (024)",14752,7675,17,171,6458,,14,17,5,395
"Hombres (025)",4960,3627,6,70,1057,,9,10,4,177
"Mujeres (026)",9792,4048,11,101,5401,,5,7,1,218
"De 30 a 44 años (027)",6420,239,31,132,5758,,6,24,,230
"Hombres (028)",1004,79,15,57,704,,4,16,,129
"Mujeres (029)",5416,160,16,75,5054,,2,8,,101
"De 45 a 64 años (030)",4635,61,170,171,4024,21,5,19,,164
"Hombres (031)",919,22,95,78,595,14,4,11,,100
"Mujeres (032)",3716,39,75,93,3429,7,1,8,,64
"De 65 y más años (033)",2766,4,156,208,1739,542,1,18,,98
"Hombres (034)",1022,3,111,130,442,268,,12,,56
"Mujeres (035)",1744,1,45,78,1297,274,1,6,,42
,,,,,,,,,,
"AREA RURAL (036)",49244,25078,55,367,21878,739,67,184,2,874
"Hombres (037)",16334,13139,35,282,1785,426,65,98,2,502
"Mujeres (038)",32910,11939,20,85,20093,313,2,86,,372
"De 06 a 14 años (039)",22165,20952,,,624,272,1,31,,285
"Hombres (040)",11279,10856,,,146,147,1,16,,113
"Mujeres (041)",10886,10096,,,478,125,,15,,172
"De 15 a 29 años (042)",12407,4005,2,93,7963,,36,47,2,259
"Hombres (043)",3177,2241,,68,649,,36,25,2,156
"Mujeres (044)",9230,1764,2,25,7314,,,22,,103
"De 30 a 44 años (045)",6822,88,6,65,6467,,13,38,,145
"Hombres (046)",607,33,2,52,391,,12,15,,102
"Mujeres (047)",6215,55,4,13,6076,,1,23,,43
"De 45 a 64 años (048)",5140,28,14,90,4839,16,11,31,,111
"Hombres (049)",529,6,9,67,330,10,11,19,,77
"Mujeres (050)",4611,22,5,23,4509,6,,12,,34
"De 65 y más años (051)",2710,5,33,119,1985,451,6,37,,74
"Hombres (052)",742,3,24,95,269,269,5,23,,54
"Mujeres (053)",1968,2,9,24,1716,182,1,14,,20
