"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"De 20 a 24 años (103)",134,116,2,71,34,4,5,,,,18,173
"De 25 a 29 años (104)",243,211,1,71,91,34,13,,1,,32,419
"De 30 a 34 años (105)",241,236,2,44,83,58,43,5,1,,5,612
"De 35 a 39 años (106)",255,247,1,32,68,70,56,17,2,1,8,754
"De 40 a 44 años (107)",197,192,,17,44,54,58,15,3,1,5,660
"De 45 a 49 años (108)",164,157,,15,26,35,47,23,10,1,7,623
"De 50 y más años (109)",667,661,6,57,83,107,207,134,49,18,6,2925
"Sin nivel (110)",462,452,4,46,62,103,124,78,25,10,10,1850
"De 20 a 24 años (113)",4,4,,1,2,1,,,,,,8
"De 25 a 29 años (114)",11,10,,4,3,2,1,,,,1,20
"De 30 a 34 años (115)",16,16,,2,5,4,5,,,,,48
"De 35 a 39 años (116)",26,25,,2,4,12,6,1,,,1,79
"De 40 a 44 años (117)",42,40,,2,5,18,11,4,,,2,142
"De 45 a 49 años (118)",35,33,,4,4,9,9,4,3,,2,131
"De 50 y más años (119)",328,324,4,31,39,57,92,69,22,10,4,1422
"Educacion Inicial (120)",5,5,,1,1,2,1,,,,,14
"De 15 a 19 años (122)",1,1,,,1,,,,,,,2
"De 30 a 34 años (125)",4,4,,1,,2,1,,,,,12
"Primaria (130)",768,752,4,92,150,149,216,96,35,10,16,2805
"De 12 a 14 años (131)",2,2,,1,1,,,,,,,3
"De 15 a 19 años (132)",5,4,,3,,1,,,,,1,6
"De 20 a 24 años (133)",29,27,1,15,7,2,2,,,,2,45
"De 25 a 29 años (134)",75,68,,20,28,14,6,,,,7,143
"De 30 a 34 años (135)",89,89,1,10,21,32,21,3,1,,,265
"De 35 a 39 años (136)",113,111,,10,29,28,31,13,,,2,368
"De 40 a 44 años (137)",81,81,,8,15,18,27,9,3,1,,307
"De 45 a 49 años (138)",87,85,,6,16,14,27,14,7,1,2,359
"De 50 y más años (139)",287,285,2,19,33,40,102,57,24,8,2,1309
"Secundaria (140)",580,529,5,156,175,92,79,16,5,1,51,1282
"De 12 a 14 años (141)",2,,,,,,,,,,2,
"De 15 a 19 años (142)",46,37,2,30,3,2,,,,,9,42
"De 20 a 24 años (143)",86,73,1,46,23,1,2,,,,13,103
"De 25 a 29 años (144)",134,119,1,38,58,15,6,,1,,15,234
"De 30 a 34 años (145)",103,99,1,19,43,18,16,2,,,4,241
"De 35 a 39 años (146)",90,87,,14,25,25,17,3,2,1,3,257
"De 40 a 44 años (147)",53,50,,3,13,15,18,1,,,3,160
"De 45 a 49 años (148)",30,28,,3,5,7,10,3,,,2,98
"De 50 y más años (149)",36,36,,3,5,9,10,7,2,,,147
"Sup. no Univ. incompleta (150)",38,32,,10,16,3,1,1,1,,6,70
"De 15 a 19 años (152)",1,1,,1,,,,,,,,1
"De 20 a 24 años (153)",9,8,,6,2,,,,,,1,10
"De 25 a 29 años (154)",5,2,,1,,1,,,,,3,4
"De 30 a 34 años (155)",7,7,,1,5,1,,,,,,14
"De 35 a 39 años (156)",6,5,,,4,1,,,,,1,11
"De 40 a 44 años (157)",5,5,,,4,,1,,,,,12
