"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAJABAMBA (000)",21089,18905,1090,570,524
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",19,,3,4,12
"Profes., científicos e intelectuales (002)",1314,535,365,311,103
"Técnicos de nivel medio y trab. asimilados (003)",334,181,32,24,97
"Jefes y empleados de oficina (004)",206,55,26,33,92
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1296,1218,53,14,11
"Agricult.trabaj.calif.agrop.y pesqueros (006)",8864,8725,138,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1009,870,88,25,26
"Obreros construc.,conf.,papel, fab., instr. (008)",752,608,62,54,28
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",6686,6178,304,91,113
"Otra (010)",36,,,,36
"Ocupación no especificada (011)",573,535,19,13,6
"Hombres (012)",16909,15366,803,383,357
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",17,,2,4,11
"Profes., científicos e intelectuales (014)",646,208,202,179,57
"Técnicos de nivel medio y trab. asimilados (015)",219,125,25,16,53
"Jefes y empleados de oficina (016)",93,20,11,11,51
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",555,505,30,12,8
"Agricult.trabaj.calif.agrop.y pesqueros (018)",8513,8387,125,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",817,691,78,22,26
"Obreros construc.,conf.,papel, fab., instr. (020)",733,593,61,52,27
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",5142,4722,257,79,84
"Otra (022)",36,,,,36
"Ocupación no especificada (023)",138,115,12,7,4
"Mujeres (024)",4180,3539,287,187,167
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",2,,1,,1
"Profes., científicos e intelectuales (026)",668,327,163,132,46
"Técnicos de nivel medio y trab. asimilados (027)",115,56,7,8,44
"Jefes y empleados de oficina (028)",113,35,15,22,41
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",741,713,23,2,3
"Agricult.trabaj.calif.agrop.y pesqueros (030)",351,338,13,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",192,179,10,3,
"Obreros construc.,conf.,papel, fab., instr. (032)",19,15,1,2,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1544,1456,47,12,29
