"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CONDESUYOS (000)",273,55,218
"Sin nivel (001)",19,4,15
"Educación inicial (002)",1,1,
"Primaria (003)",87,21,66
"Secundaria (004)",113,18,95
"Superior no univ. incompleta (005)",21,5,16
"Superior no univ. completa (006)",18,4,14
"Superior univ. incompleta (007)",5,,5
"Superior univ. completa (008)",9,2,7
"Hombres (010)",223,35,188
"Sin nivel (011)",12,2,10
"Primaria (013)",68,10,58
"Secundaria (014)",102,15,87
"Superior no univ. incompleta (015)",18,3,15
"Superior no univ. completa (016)",11,4,7
"Superior univ. incompleta (017)",5,,5
"Superior univ. completa (018)",7,1,6
"Mujeres (020)",50,20,30
"Sin nivel (021)",7,2,5
"Educación inicial (022)",1,1,
"Primaria (023)",19,11,8
"Secundaria (024)",11,3,8
"Superior no univ. incompleta (025)",3,2,1
"Superior no univ. completa (026)",7,,7
"Superior univ. completa (028)",2,1,1
,,,
"AREA URBANA (030)",114,18,96
"Sin nivel (031)",5,,5
"Educación inicial (032)",1,1,
"Primaria (033)",34,3,31
"Secundaria (034)",42,6,36
"Superior no univ. incompleta (035)",12,3,9
"Superior no univ. completa (036)",13,3,10
"Superior univ. incompleta (037)",2,,2
"Superior univ. completa (038)",5,2,3
"Hombres (040)",83,10,73
"Sin nivel (041)",1,,1
"Primaria (043)",26,1,25
"Secundaria (044)",34,4,30
"Superior no univ. incompleta (045)",9,1,8
"Superior no univ. completa (046)",7,3,4
"Superior univ. incompleta (047)",2,,2
"Superior univ. completa (048)",4,1,3
"Mujeres (050)",31,8,23
"Sin nivel (051)",4,,4
"Educación inicial (052)",1,1,
"Primaria (053)",8,2,6
"Secundaria (054)",8,2,6
"Superior no univ. incompleta (055)",3,2,1
"Superior no univ. completa (056)",6,,6
"Superior univ. completa (058)",1,1,
,,,
"AREA RURAL (060)",159,37,122
"Sin nivel (061)",14,4,10
"Primaria (063)",53,18,35
"Secundaria (064)",71,12,59
"Superior no univ. incompleta (065)",9,2,7
"Superior no univ. completa (066)",5,1,4
"Superior univ. incompleta (067)",3,,3
"Superior univ. completa (068)",4,,4
"Hombres (070)",140,25,115
"Sin nivel (071)",11,2,9
"Primaria (073)",42,9,33
"Secundaria (074)",68,11,57
"Superior no univ. incompleta (075)",9,2,7
"Superior no univ. completa (076)",4,1,3
"Superior univ. incompleta (077)",3,,3
"Superior univ. completa (078)",3,,3
"Mujeres (080)",19,12,7
"Sin nivel (081)",3,2,1
"Primaria (083)",11,9,2
"Secundaria (084)",3,1,2
"Superior no univ. completa (086)",1,,1
"Superior univ. completa (088)",1,,1
