"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TRUJILLO (000)",805409,785917,19492
"Casa independiente (001)",748846,729668,19178
"Departamento en edificio (002)",33366,33366,
"Vivienda en quinta (003)",11458,11458,
"Vivienda en casa de vecindad (004)",6924,6924,
"Choza o cabaña (005)",299,,299
"Vivienda improvisada (006)",3300,3300,
"Local no dest.para hab. humana (007)",1122,1108,14
"Otro tipo (008)",94,93,1
