"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LA CONVENCION (000)",1837,36,953,590,216,42
"Conviviente (001)",714,2,295,327,77,13
"Separado(a) (002)",69,,14,40,15,
"Casado(a) (003)",220,,23,95,86,16
"Viudo(a) (004)",30,,1,10,11,8
"Divorciado(a) (005)",8,,,4,4,
"Soltero(a) (006)",796,34,620,114,23,5
"Hombres (008)",1224,27,593,406,160,38
"Conviviente (009)",469,1,159,236,62,11
"Separado(a) (010)",26,,3,17,6,
"Casado(a) (011)",154,,13,61,64,16
"Viudo(a) (012)",20,,,5,9,6
"Divorciado(a) (013)",4,,,3,1,
"Soltero(a) (014)",551,26,418,84,18,5
"Mujeres (016)",613,9,360,184,56,4
"Conviviente (017)",245,1,136,91,15,2
"Separado(a) (018)",43,,11,23,9,
"Casado(a) (019)",66,,10,34,22,
"Viudo(a) (020)",10,,1,5,2,2
"Divorciado(a) (021)",4,,,1,3,
"Soltero(a) (022)",245,8,202,30,5,
,,,,,,
"AREA URBANA (024)",1187,19,583,404,151,30
"Conviviente (025)",491,2,195,230,56,8
"Separado(a) (026)",47,,10,27,10,
"Casado(a) (027)",158,,15,66,64,13
"Viudo(a) (028)",23,,1,8,7,7
"Divorciado(a) (029)",7,,,4,3,
"Soltero(a) (030)",461,17,362,69,11,2
"Hombres (032)",742,14,336,257,108,27
"Conviviente (033)",309,1,101,154,46,7
"Separado(a) (034)",16,,2,10,4,
"Casado(a) (035)",101,,6,39,43,13
"Viudo(a) (036)",15,,,4,6,5
"Divorciado(a) (037)",4,,,3,1,
"Soltero(a) (038)",297,13,227,47,8,2
"Mujeres (040)",445,5,247,147,43,3
"Conviviente (041)",182,1,94,76,10,1
"Separado(a) (042)",31,,8,17,6,
"Casado(a) (043)",57,,9,27,21,
"Viudo(a) (044)",8,,1,4,1,2
"Divorciado(a) (045)",3,,,1,2,
"Soltero(a) (046)",164,4,135,22,3,
,,,,,,
"AREA RURAL (048)",650,17,370,186,65,12
"Conviviente (049)",223,,100,97,21,5
"Separado(a) (050)",22,,4,13,5,
"Casado(a) (051)",62,,8,29,22,3
"Viudo(a) (052)",7,,,2,4,1
"Divorciado(a) (053)",1,,,,1,
"Soltero(a) (054)",335,17,258,45,12,3
"Hombres (056)",482,13,257,149,52,11
"Conviviente (057)",160,,58,82,16,4
"Separado(a) (058)",10,,1,7,2,
"Casado(a) (059)",53,,7,22,21,3
"Viudo(a) (060)",5,,,1,3,1
"Soltero(a) (062)",254,13,191,37,10,3
"Mujeres (064)",168,4,113,37,13,1
"Conviviente (065)",63,,42,15,5,1
"Separado(a) (066)",12,,3,6,3,
"Casado(a) (067)",9,,1,7,1,
"Viudo(a) (068)",2,,,1,1,
"Divorciado(a) (069)",1,,,,1,
"Soltero(a) (070)",81,4,67,8,2,
