"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CUSCO (000)",154514,101703,16808,16179,19824
"Agric., ganadería, caza y silvicultura (001)",6172,5201,743,152,76
"Pesca (002)",7,3,1,3,
"Explotación de minas y canteras (003)",317,105,49,62,101
"Industrias manufactureras (004)",13044,10700,1418,567,359
"Suministro de electricidad, gas y agua (005)",423,62,31,165,165
"Construcción (006)",11494,7246,1915,1495,838
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",36973,33063,2352,1315,243
"Venta, mant.y rep. veh.autom y motoc. (008)",3280,2637,435,145,63
"Comercio al por mayor (009)",1841,1104,259,298,180
"Comercio al por menor (010)",31852,29322,1658,872,
"Hoteles y restaurantes (011)",13248,9344,1874,1419,611
"Trans., almac. y comunicaciones (012)",17616,13330,1698,1582,1006
"Intermediación financiera (013)",1220,226,118,533,343
"Activid.inmobil., empres. y alquileres (014)",11434,6192,1545,1984,1713
"Admin.pub. y defensa; p. segur soc.afil (015)",7148,,,,7148
"Enseñanza (016)",13248,2477,2893,4774,3104
"Servicios sociales y de salud (017)",5071,1466,293,350,2962
"Otras activ. serv.comun.soc y personales (018)",6423,3936,1075,933,479
"Hogares privados con servicio doméstico (019)",5005,5005,,,
"Organiz. y organos extraterritoriales (020)",4,,2,,2
"Actividad economica no especificada (021)",5667,3347,801,845,674
"Hombres (022)",85755,53625,10373,9522,12235
"Agric., ganadería, caza y silvicultura (023)",4594,3840,570,125,59
"Pesca (024)",5,2,,3,
"Explotación de minas y canteras (025)",286,97,44,55,90
"Industrias manufactureras (026)",8722,7061,982,391,288
"Suministro de electricidad, gas y agua (027)",363,57,26,145,135
"Construcción (028)",11099,7074,1854,1401,770
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",14771,12498,1314,775,184
"Venta, mant.y rep. veh.autom y motoc. (030)",2969,2381,396,131,61
"Comercio al por mayor (031)",1078,578,170,207,123
"Comercio al por menor (032)",10724,9539,748,437,
"Hoteles y restaurantes (033)",4941,2636,989,902,414
"Trans., almac. y comunicaciones (034)",14001,10915,1182,1096,808
"Intermediación financiera (035)",608,119,59,254,176
"Activid.inmobil., empres. y alquileres (036)",7254,3949,968,1236,1101
"Admin.pub. y defensa; p. segur soc.afil (037)",5080,,,,5080
