"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANUCO (000)",90485,70791,6773,5788,7133
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",198,7,48,42,101
"Profes., científicos e intelectuales (002)",10512,2649,1740,3004,3119
"Técnicos de nivel medio y trab. asimilados (003)",3500,1808,481,461,750
"Jefes y empleados de oficina (004)",3073,791,371,560,1351
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",13456,12009,848,429,170
"Agricult.trabaj.calif.agrop.y pesqueros (006)",18485,18049,432,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",5477,4543,557,219,158
"Obreros construc.,conf.,papel, fab., instr. (008)",8743,7461,664,393,225
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",25236,22374,1523,594,745
"Otra (010)",451,,,,451
"Ocupación no especificada (011)",1354,1100,109,82,63
"Hombres (012)",61447,49137,4642,3406,4262
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",132,4,31,29,68
"Profes., científicos e intelectuales (014)",5392,1454,867,1426,1645
"Técnicos de nivel medio y trab. asimilados (015)",2395,1319,340,328,408
"Jefes y empleados de oficina (016)",1460,344,173,257,686
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",5894,4965,477,319,133
"Agricult.trabaj.calif.agrop.y pesqueros (018)",16844,16452,390,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",4554,3686,520,198,150
"Obreros construc.,conf.,papel, fab., instr. (020)",8515,7269,644,381,221
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",15260,13214,1139,415,492
"Otra (022)",412,,,,412
"Ocupación no especificada (023)",589,430,61,51,47
"Mujeres (024)",29038,21654,2131,2382,2871
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",66,3,17,13,33
"Profes., científicos e intelectuales (026)",5120,1195,873,1578,1474
"Técnicos de nivel medio y trab. asimilados (027)",1105,489,141,133,342
"Jefes y empleados de oficina (028)",1613,447,198,303,665
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",7562,7044,371,110,37
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1641,1597,42,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",923,857,37,21,8
"Obreros construc.,conf.,papel, fab., instr. (032)",228,192,20,12,4
