"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ACOMAYO (000)",7198,6894,32,1016,1170,1173,1979,1077,367,80,304,26446
"De 12 a 14 años (001)",15,4,,4,,,,,,,11,4
"De 15 a 19 años (002)",146,118,3,100,14,1,,,,,28,131
"De 20 a 24 años (003)",653,539,2,297,166,54,18,2,,,114,877
"De 25 a 29 años (004)",772,716,,174,221,189,121,10,1,,56,1765
"De 30 a 34 años (005)",822,794,1,81,175,189,274,70,4,,28,2665
"De 35 a 39 años (006)",857,842,1,47,116,173,316,150,36,3,15,3494
"De 40 a 44 años (007)",743,733,2,37,89,116,254,161,56,18,10,3390
"De 45 a 49 años (008)",591,583,4,39,71,74,177,139,65,14,8,2769
"De 50 y más años (009)",2599,2565,19,237,318,377,819,545,205,45,34,11351
"Conviviente (010)",2252,2186,8,513,519,410,485,199,40,12,66,6645
"De 12 a 14 años (011)",9,2,,2,,,,,,,7,2
"De 15 a 19 años (012)",111,90,3,76,10,1,,,,,21,99
"De 20 a 24 años (013)",437,417,2,214,145,41,13,2,,,20,693
"De 25 a 29 años (014)",493,484,,114,160,121,82,7,,,9,1185
"De 30 a 34 años (015)",383,379,,44,93,89,128,24,1,,4,1211
"De 35 a 39 años (016)",314,311,,15,51,68,112,56,9,,3,1254
"De 40 a 44 años (017)",193,192,,15,21,33,59,44,13,7,1,888
"De 45 a 49 años (018)",107,107,1,13,18,13,30,22,7,3,,454
"De 50 y más años (019)",205,204,2,20,21,44,61,44,10,2,1,859
"Separado(a) (020)",228,225,1,96,51,25,30,15,7,,3,559
"De 15 a 19 años (022)",19,18,,17,1,,,,,,1,19
"De 20 a 24 años (023)",39,37,,30,7,,,,,,2,44
"De 25 a 29 años (024)",33,33,,17,11,5,,,,,,54
