"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CASTILLA (000)",13638,39287,35270,,614,89.8,1.6
"De 12 a 14 años (001)",1152,10,10,,,100,
"De 15 a 19 años (002)",1524,259,246,81,95,31.3,
"De 20 a 24 años (003)",1381,1272,1234,178,97,14,
"De 25 a 29 años (004)",1394,2250,2192,138,97.4,6.1,
"De 30 a 34 años (005)",1358,3029,2929,110,96.7,3.6,
"De 35 a 39 años (006)",1349,3947,3770,64,95.5,1.6,
"De 40 a 44 años (007)",1126,4209,3945,36,93.7,0.9,
"De 45 a 49 años (008)",928,4230,3835,7,90.7,0.2,
"De 50 y más años (009)",3426,20081,17109,,85.2,,
"PEA (010)",5124,14616,13363,174,91.4,1.2,
"De 12 a 14 años (011)",60,3,3,,100,,
"De 15 a 19 años (012)",348,77,74,25,96.1,32.5,
"De 20 a 24 años (013)",562,457,446,39,97.6,8.5,
"De 25 a 29 años (014)",624,798,785,33,98.4,4.1,
"De 30 a 34 años (015)",700,1386,1331,35,96,2.5,
"De 35 a 39 años (016)",663,1742,1671,29,95.9,1.7,
"De 40 a 44 años (017)",569,2017,1897,9,94.1,0.4,
"De 45 a 49 años (018)",472,2057,1870,4,90.9,0.2,
"De 50 y más años (019)",1126,6079,5286,,87,,
"Ocupada (020)",4972,14374,13133,165,91.4,1.1,
"De 12 a 14 años (021)",58,3,3,,100,,
"De 15 a 19 años (022)",323,72,69,22,95.8,30.6,
"De 20 a 24 años (023)",532,441,430,38,97.5,8.6,
"De 25 a 29 años (024)",599,776,763,31,98.3,4,
"De 30 a 34 años (025)",672,1335,1282,32,96,2.4,
"De 35 a 39 años (026)",655,1719,1648,29,95.9,1.7,
"De 40 a 44 años (027)",558,1994,1877,9,94.1,0.5,
"De 45 a 49 años (028)",464,2016,1831,4,90.8,0.2,
"De 50 y más años (029)",1111,6018,5230,,86.9,,
"Desocupada (030)",152,242,230,9,95,3.7,
"De 12 a 14 años (031)",2,,,,,,
"De 15 a 19 años (032)",25,5,5,3,100,60,
"De 20 a 24 años (033)",30,16,16,1,100,6.3,
"De 25 a 29 años (034)",25,22,22,2,100,9.1,
"De 30 a 34 años (035)",28,51,49,3,96.1,5.9,
"De 35 a 39 años (036)",8,23,23,,100,,
"De 40 a 44 años (037)",11,23,20,,87,,
