"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AIJA (000)",2181,131,2,761,685,181,252,44,125
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",14,,,,3,1,5,1,4
"Profes., científicos e intelectuales (002)",180,,,,10,21,72,10,67
"Técnicos de nivel medio ytrab.asimilados (003)",30,,,1,3,3,20,1,2
"Jefes y empleados de oficina (004)",68,,,,19,12,30,1,6
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",132,5,,39,56,9,16,1,6
"Agricult.trabaj. calif.agrop. y pesquros (006)",781,49,1,393,218,51,43,12,14
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",76,2,,19,32,9,10,2,2
"Obreros. construc., conf., papel, fab., instr (008)",67,1,,18,32,4,5,3,4
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",766,73,1,266,289,67,42,10,18
"Otra (010)",6,,,,,,6,,
"Ocupación no especificada (011)",61,1,,25,23,4,3,3,2
"Hombres (012)",1606,65,1,570,523,137,189,33,88
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",10,,,,2,1,4,,3
"Profes., científicos e intelectuales (014)",111,,,,4,11,46,7,43
"Técnicos de nivel medio ytrab.asimilados (015)",21,,,,2,2,15,1,1
"Jefes y empleados de oficina (016)",34,,,,10,6,16,,2
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",33,,,6,11,2,10,,4
"Agricult.trabaj. calif.agrop. y pesquros (018)",703,35,1,342,206,51,42,12,14
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",70,2,,19,28,7,10,2,2
"Obreros. construc., conf., papel, fab., instr (020)",67,1,,18,32,4,5,3,4
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",529,27,,181,217,50,33,7,14
"Otra (022)",6,,,,,,6,,
"Ocupación no especificada (023)",22,,,4,11,3,2,1,1
"Mujeres (024)",575,66,1,191,162,44,63,11,37
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",4,,,,1,,1,1,1
"Profes., científicos e intelectuales (026)",69,,,,6,10,26,3,24
"Técnicos de nivel medio ytrab.asimilados (027)",9,,,1,1,1,5,,1
"Jefes y empleados de oficina (028)",34,,,,9,6,14,1,4
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",99,5,,33,45,7,6,1,2
"Agricult.trabaj. calif.agrop. y pesquros (030)",78,14,,51,12,,1,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",6,,,,4,2,,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",237,46,1,85,72,17,9,3,4
"Ocupación no especificada (035)",39,1,,21,12,1,1,2,1
,,,,,,,,,
"URBANA (036)",788,9,1,187,246,66,154,25,100
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",13,,,,2,1,5,1,4
"Profes., científicos e intelectuales (038)",125,,,,3,9,53,5,55
"Técnicos de nivel medio ytrab.asimilados (039)",23,,,1,2,2,16,1,1
"Jefes y empleados de oficina (040)",52,,,,15,7,24,1,5
"Trab.de serv.pers.y vend.del comerc y mcdo. (041)",88,,,20,43,6,12,1,6
