"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PACASMAYO (000)",89195,3665,8124,10035,8999,14929,13674,22681,7088
"Sabe leer y escribir (001)",79834,,6606,9891,8848,14550,13258,21036,5645
"No sabe leer y escribir (002)",9361,3665,1518,144,151,379,416,1645,1443
"Hombres (004)",44038,1845,4100,5008,4486,7317,6518,11198,3566
"Sabe leer y escribir (005)",40228,,3338,4937,4401,7179,6410,10815,3148
"No sabe leer y escribir (006)",3810,1845,762,71,85,138,108,383,418
"Mujeres (008)",45157,1820,4024,5027,4513,7612,7156,11483,3522
"Sabe leer y escribir (009)",39606,,3268,4954,4447,7371,6848,10221,2497
"No sabe leer y escribir (010)",5551,1820,756,73,66,241,308,1262,1025
,,,,,,,,,
"URBANA (012)",82958,3398,7497,9314,8378,13755,12807,21183,6626
"Sabe leer y escribir (013)",74666,,6138,9191,8253,13451,12473,19791,5369
"No sabe leer y escribir (014)",8292,3398,1359,123,125,304,334,1392,1257
"Hombres (016)",40813,1708,3767,4649,4165,6714,6083,10413,3314
"Sabe leer y escribir (017)",37431,,3089,4589,4095,6597,5995,10106,2960
"No sabe leer y escribir (018)",3382,1708,678,60,70,117,88,307,354
"Mujeres (020)",42145,1690,3730,4665,4213,7041,6724,10770,3312
"Sabe leer y escribir (021)",37235,,3049,4602,4158,6854,6478,9685,2409
"No sabe leer y escribir (022)",4910,1690,681,63,55,187,246,1085,903
,,,,,,,,,
"RURAL (024)",6237,267,627,721,621,1174,867,1498,462
"Sabe leer y escribir (025)",5168,,468,700,595,1099,785,1245,276
"No sabe leer y escribir (026)",1069,267,159,21,26,75,82,253,186
"Hombres (028)",3225,137,333,359,321,603,435,785,252
"Sabe leer y escribir (029)",2797,,249,348,306,582,415,709,188
"No sabe leer y escribir (030)",428,137,84,11,15,21,20,76,64
"Mujeres (032)",3012,130,294,362,300,571,432,713,210
"Sabe leer y escribir (033)",2371,,219,352,289,517,370,536,88
"No sabe leer y escribir (034)",641,130,75,10,11,54,62,177,122
