"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHURCAMPA (000)",15498,14943,4391,1534,1516,1340,2303,1806,1130,923,555,50413
"De 12 a 14 años (001)",1949,1941,1935,5,1,,,,,,8,7
"De 15 a 19 años (002)",2016,1975,1612,294,58,6,5,,,,41,448
"De 20 a 24 años (003)",1608,1412,340,495,383,142,47,5,,,196,1916
"De 25 a 29 años (004)",1417,1286,115,238,328,296,256,46,7,,131,3218
"De 30 a 34 años (005)",1322,1273,75,144,240,239,383,161,29,2,49,4294
"De 35 a 39 años (006)",1264,1215,33,78,152,182,373,281,86,30,49,5435
"De 40 a 44 años (007)",1130,1105,35,53,76,107,265,275,194,100,25,6246
"De 45 a 49 años (008)",1007,996,23,50,67,79,220,238,172,147,11,6043
"De 50 y más años (009)",3785,3740,223,177,211,289,754,800,642,644,45,22806
"Conviviente (010)",2466,2385,185,717,575,328,357,145,45,33,81,6069
"De 12 a 14 años (011)",15,9,6,3,,,,,,,6,3
"De 15 a 19 años (012)",332,307,59,201,41,4,2,,,,25,303
"De 20 a 24 años (013)",707,675,48,292,234,72,28,1,,,32,1100
"De 25 a 29 años (014)",488,481,27,113,142,111,77,9,2,,7,1129
"De 30 a 34 años (015)",350,346,19,57,85,67,92,24,2,,4,997
"De 35 a 39 años (016)",216,213,3,23,39,32,70,35,7,4,3,832
"De 40 a 44 años (017)",135,134,4,13,12,20,44,26,8,7,1,598
"De 45 a 49 años (018)",76,76,3,4,6,9,22,17,11,4,,385
"De 50 y más años (019)",147,144,16,11,16,13,22,33,15,18,3,722
"Separado(a) (020)",513,498,15,169,109,62,72,46,18,7,15,1421
"De 12 a 14 años (021)",2,1,1,,,,,,,,1,
"De 15 a 19 años (022)",39,35,3,30,2,,,,,,4,34
"De 20 a 24 años (023)",86,82,,55,20,6,1,,,,4,117
