"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CANCHIS (000)",49890,30633,559,491,17211,340,22,55,1,578
"Hombres (001)",20066,15699,356,195,3337,143,15,28,1,292
"Mujeres (002)",29824,14934,203,296,13874,197,7,27,,286
"De 06 a 14 años (003)",21755,21138,,,391,82,1,8,,135
"Hombres (004)",11023,10750,,,169,46,1,3,,54
"Mujeres (005)",10732,10388,,,222,36,,5,,81
"De 15 a 29 años (006)",13878,9229,7,98,4367,,9,17,1,150
"Hombres (007)",5813,4820,3,31,852,,6,10,1,90
"Mujeres (008)",8065,4409,4,67,3515,,3,7,,60
"De 30 a 44 años (009)",5372,218,22,115,4929,,6,4,,78
"Hombres (010)",913,109,13,45,698,,4,2,,42
"Mujeres (011)",4459,109,9,70,4231,,2,2,,36
"De 45 a 64 años (012)",4614,37,199,138,4150,4,4,8,,74
"Hombres (013)",1047,15,119,65,793,1,2,6,,46
"Mujeres (014)",3567,22,80,73,3357,3,2,2,,28
"De 65 y más años (015)",4271,11,331,140,3374,254,2,18,,141
"Hombres (016)",1270,5,221,54,825,96,2,7,,60
"Mujeres (017)",3001,6,110,86,2549,158,,11,,81
,,,,,,,,,,
"AREA URBANA (018)",29658,19346,438,402,8939,153,16,24,1,339
"Hombres (019)",12427,9910,284,169,1792,68,9,15,1,179
"Mujeres (020)",17231,9436,154,233,7147,85,7,9,,160
"De 06 a 14 años (021)",13166,12847,,,239,30,,3,,47
"Hombres (022)",6718,6565,,,108,22,,2,,21
"Mujeres (023)",6448,6282,,,131,8,,1,,26
"De 15 a 29 años (024)",9056,6295,4,81,2551,,7,6,1,111
"Hombres (025)",3880,3237,2,26,538,,4,4,1,68
"Mujeres (026)",5176,3058,2,55,2013,,3,2,,43
"De 30 a 44 años (027)",3089,178,17,98,2737,,4,3,,52
"Hombres (028)",565,94,13,41,383,,2,2,,30
"Mujeres (029)",2524,84,4,57,2354,,2,1,,22
"De 45 a 64 años (030)",2369,21,175,116,1998,2,4,5,,48
"Hombres (031)",619,10,107,57,407,1,2,5,,30
"Mujeres (032)",1750,11,68,59,1591,1,2,,,18
"De 65 y más años (033)",1978,5,242,107,1414,121,1,7,,81
"Hombres (034)",645,4,162,45,356,45,1,2,,30
"Mujeres (035)",1333,1,80,62,1058,76,,5,,51
,,,,,,,,,,
"AREA RURAL (036)",20232,11287,121,89,8272,187,6,31,,239
"Hombres (037)",7639,5789,72,26,1545,75,6,13,,113
"Mujeres (038)",12593,5498,49,63,6727,112,,18,,126
"De 06 a 14 años (039)",8589,8291,,,152,52,1,5,,88
"Hombres (040)",4305,4185,,,61,24,1,1,,33
"Mujeres (041)",4284,4106,,,91,28,,4,,55
"De 15 a 29 años (042)",4822,2934,3,17,1816,,2,11,,39
"Hombres (043)",1933,1583,1,5,314,,2,6,,22
"Mujeres (044)",2889,1351,2,12,1502,,,5,,17
"De 30 a 44 años (045)",2283,40,5,17,2192,,2,1,,26
"Hombres (046)",348,15,,4,315,,2,,,12
"Mujeres (047)",1935,25,5,13,1877,,,1,,14
"De 45 a 64 años (048)",2245,16,24,22,2152,2,,3,,26
"Hombres (049)",428,5,12,8,386,,,1,,16
"Mujeres (050)",1817,11,12,14,1766,2,,2,,10
"De 65 y más años (051)",2293,6,89,33,1960,133,1,11,,60
"Hombres (052)",625,1,59,9,469,51,1,5,,30
"Mujeres (053)",1668,5,30,24,1491,82,,6,,30
