"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YUNGAY (000)",16646,14106,855,606,1079
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",49,,7,6,36
"Profes., científicos e intelectuales (002)",1032,207,140,202,483
"Técnicos de nivel medio y trab. asimilados (003)",276,138,24,21,93
"Jefes y empleados de oficina (004)",234,39,22,24,149
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1132,1036,42,16,38
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7330,7174,148,7,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",594,395,92,71,36
"Obreros construc.,conf.,papel, fab., instr. (008)",694,544,61,46,43
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",5059,4388,316,202,153
"Otra (010)",39,,,,39
"Ocupación no especificada (011)",207,185,3,11,8
"Hombres (012)",12837,11053,691,463,630
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",36,,5,4,27
"Profes., científicos e intelectuales (014)",554,102,80,122,250
"Técnicos de nivel medio y trab. asimilados (015)",156,84,17,13,42
"Jefes y empleados de oficina (016)",105,14,8,13,70
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",400,343,27,11,19
"Agricult.trabaj.calif.agrop.y pesqueros (018)",6744,6597,139,7,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",509,337,79,59,34
"Obreros construc.,conf.,papel, fab., instr. (020)",677,534,61,45,37
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3570,3007,274,182,107
"Otra (022)",38,,,,38
"Ocupación no especificada (023)",48,35,1,7,5
"Mujeres (024)",3809,3053,164,143,449
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",13,,2,2,9
"Profes., científicos e intelectuales (026)",478,105,60,80,233
"Técnicos de nivel medio y trab. asimilados (027)",120,54,7,8,51
"Jefes y empleados de oficina (028)",129,25,14,11,79
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",732,693,15,5,19
"Agricult.trabaj.calif.agrop.y pesqueros (030)",586,577,9,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",85,58,13,12,2
"Obreros construc.,conf.,papel, fab., instr. (032)",17,10,,1,6
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1489,1381,42,20,46
