"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia BAGUA (000)",24541,55,1896,463,502,1954,7471,715,1403,8489,75,744,774
"Agric., ganadería, caza y silvicultura (001)",14088,1,12,10,,,7468,3,14,6580,,,
"Pesca (002)",9,,,,,,3,,,6,,,
"Explotación de minas y canteras (003)",6,,1,1,,,,1,,3,,,
"Industrias manufactureras (004)",539,,8,13,2,2,,485,16,13,,,
"Suministro de electricidad, gas y agua (005)",26,,1,4,5,,,5,1,10,,,
"Construcción (006)",552,,16,15,3,,,21,344,153,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",2225,,18,60,9,1510,,191,17,420,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",236,,1,13,2,49,,149,15,7,,,
"Comercio al por mayor (009)",73,,1,3,1,65,,,,3,,,
"Comercio al por menor (010)",1916,,16,44,6,1396,,42,2,410,,,
"Hoteles y restaurantes (011)",640,1,5,26,8,348,,,1,251,,,
"Trans., almac. y comunicaciones (012)",1189,,3,12,27,1,,1,976,169,,,
"Intermediación financiera (013)",26,,6,6,13,,,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",392,,95,87,68,46,,1,11,84,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",447,25,34,34,208,3,,1,12,55,75,,
"Enseñanza (016)",1546,28,1478,6,23,,,,1,10,,,
"Servicios sociales y de salud (017)",362,,167,129,32,5,,6,5,18,,,
"Otras activ. serv.comun.soc y personales (018)",400,,49,51,22,39,,,5,234,,,
"Hogares privados con servicio doméstico (019)",482,,,1,,,,,,481,,,
"Actividad economica no especificada (021)",838,,3,8,82,,,,,1,,744,
"Desocupado (022)",774,,,,,,,,,,,,774
"Hombres (023)",17868,40,998,295,233,914,6541,614,1381,5909,70,299,574
"Agric., ganadería, caza y silvicultura (024)",11649,1,9,8,,,6538,3,13,5077,,,
"Pesca (025)",9,,,,,,3,,,6,,,
"Explotación de minas y canteras (026)",6,,1,1,,,,1,,3,,,
"Industrias manufactureras (027)",424,,7,10,1,2,,385,11,8,,,
"Suministro de electricidad, gas y agua (028)",24,,1,3,4,,,5,1,10,,,
"Construcción (029)",539,,14,15,2,,,21,339,148,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",1261,,13,47,3,769,,190,17,222,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",219,,1,13,1,34,,148,15,7,,,
"Comercio al por mayor (032)",44,,1,3,,38,,,,2,,,
"Comercio al por menor (033)",998,,11,31,2,697,,42,2,213,,,
"Hoteles y restaurantes (034)",152,1,3,12,5,80,,,,51,,,
"Trans., almac. y comunicaciones (035)",1128,,3,5,12,,,1,966,141,,,
"Intermediación financiera (036)",17,,3,4,9,,,,,1,,,
"Activid.inmobil., empres. y alquileres (037)",283,,76,64,28,44,,1,11,59,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",313,18,23,19,125,3,,1,12,42,70,,
"Enseñanza (039)",767,20,725,4,9,,,,1,8,,,
"Servicios sociales y de salud (040)",168,,76,58,12,2,,6,5,9,,,
"Otras activ. serv.comun.soc y personales (041)",213,,42,38,8,14,,,5,106,,,
"Hogares privados con servicio doméstico (042)",18,,,,,,,,,18,,,
"Actividad economica no especificada (044)",323,,2,7,15,,,,,,,299,
"Desocupado (045)",574,,,,,,,,,,,,574
"Mujeres (046)",6673,15,898,168,269,1040,930,101,22,2580,5,445,200
"Agric., ganadería, caza y silvicultura (047)",2439,,3,2,,,930,,1,1503,,,
"Industrias manufactureras (050)",115,,1,3,1,,,100,5,5,,,
"Suministro de electricidad, gas y agua (051)",2,,,1,1,,,,,,,,
"Construcción (052)",13,,2,,1,,,,5,5,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",964,,5,13,6,741,,1,,198,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",17,,,,1,15,,1,,,,,
"Comercio al por mayor (055)",29,,,,1,27,,,,1,,,
"Comercio al por menor (056)",918,,5,13,4,699,,,,197,,,
"Hoteles y restaurantes (057)",488,,2,14,3,268,,,1,200,,,
"Trans., almac. y comunicaciones (058)",61,,,7,15,1,,,10,28,,,
"Intermediación financiera (059)",9,,3,2,4,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",109,,19,23,40,2,,,,25,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",134,7,11,15,83,,,,,13,5,,
"Enseñanza (062)",779,8,753,2,14,,,,,2,,,
"Servicios sociales y de salud (063)",194,,91,71,20,3,,,,9,,,
"Otras activ. serv.comun.soc y personales (064)",187,,7,13,14,25,,,,128,,,
"Hogares privados con servicio doméstico (065)",464,,,1,,,,,,463,,,
"Actividad economica no especificada (067)",515,,1,1,67,,,,,1,,445,
"Desocupado (068)",200,,,,,,,,,,,,200
,,,,,,,,,,,,,
"URBANA (069)",12438,41,1569,412,474,1811,2036,629,1268,3129,73,484,512
"Agric., ganadería, caza y silvicultura (070)",3522,1,12,9,,,2035,3,12,1450,,,
"Pesca (071)",5,,,,,,1,,,4,,,
"Explotación de minas y canteras (072)",6,,1,1,,,,1,,3,,,
"Industrias manufactureras (073)",458,,8,11,2,2,,412,12,11,,,
"Suministro de electricidad, gas y agua (074)",26,,1,4,5,,,5,1,10,,,
"Construcción (075)",474,,16,14,1,,,21,308,114,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",2070,,18,57,8,1395,,180,16,396,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",223,,1,13,1,45,,142,14,7,,,
"Comercio al por mayor (078)",66,,1,3,1,58,,,,3,,,
"Comercio al por menor (079)",1781,,16,41,6,1292,,38,2,386,,,
"Hoteles y restaurantes (080)",600,1,5,23,8,324,,,1,238,,,
"Trans., almac. y comunicaciones (081)",1064,,3,12,27,1,,1,885,135,,,
"Intermediación financiera (082)",25,,5,6,13,,,,,1,,,
"Activid.inmobil., empres. y alquileres (083)",377,,92,86,65,43,,1,11,79,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",407,17,33,27,192,3,,1,12,49,73,,
"Enseñanza (085)",1244,22,1183,6,22,,,,1,10,,,
"Servicios sociales y de salud (086)",301,,144,99,30,5,,4,4,15,,,
"Otras activ. serv.comun.soc y personales (087)",381,,45,49,21,38,,,5,223,,,
"Hogares privados con servicio doméstico (088)",390,,,,,,,,,390,,,
"Actividad economica no especificada (090)",576,,3,8,80,,,,,1,,484,
"Desocupado (091)",512,,,,,,,,,,,,512
"Hombres (092)",8446,30,797,260,214,840,1885,535,1246,1941,68,271,359
"Agric., ganadería, caza y silvicultura (093)",3142,1,9,7,,,1884,3,11,1227,,,
"Pesca (094)",5,,,,,,1,,,4,,,
"Explotación de minas y canteras (095)",6,,1,1,,,,1,,3,,,
"Industrias manufactureras (096)",350,,7,8,1,2,,319,7,6,,,
"Suministro de electricidad, gas y agua (097)",24,,1,3,4,,,5,1,10,,,
"Construcción (098)",461,,14,14,,,,21,303,109,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",1171,,13,46,3,704,,179,16,210,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",208,,1,13,1,31,,141,14,7,,,
"Comercio al por mayor (101)",39,,1,3,,33,,,,2,,,
"Comercio al por menor (102)",924,,11,30,2,640,,38,2,201,,,
"Hoteles y restaurantes (103)",142,1,3,10,5,75,,,,48,,,
"Trans., almac. y comunicaciones (104)",1004,,3,5,12,,,1,875,108,,,
"Intermediación financiera (105)",17,,3,4,9,,,,,1,,,
"Activid.inmobil., empres. y alquileres (106)",271,,73,64,26,41,,1,11,55,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",283,13,23,16,111,3,,1,12,36,68,,
"Enseñanza (108)",575,15,538,4,9,,,,1,8,,,
"Servicios sociales y de salud (109)",130,,69,34,11,2,,4,4,6,,,
"Otras activ. serv.comun.soc y personales (110)",198,,38,37,8,13,,,5,97,,,
"Hogares privados con servicio doméstico (111)",13,,,,,,,,,13,,,
"Actividad economica no especificada (113)",295,,2,7,15,,,,,,,271,
"Desocupado (114)",359,,,,,,,,,,,,359
"Mujeres (115)",3992,11,772,152,260,971,151,94,22,1188,5,213,153
"Agric., ganadería, caza y silvicultura (116)",380,,3,2,,,151,,1,223,,,
"Industrias manufactureras (119)",108,,1,3,1,,,93,5,5,,,
"Suministro de electricidad, gas y agua (120)",2,,,1,1,,,,,,,,
"Construcción (121)",13,,2,,1,,,,5,5,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",899,,5,11,5,691,,1,,186,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",15,,,,,14,,1,,,,,
"Comercio al por mayor (124)",27,,,,1,25,,,,1,,,
"Comercio al por menor (125)",857,,5,11,4,652,,,,185,,,
"Hoteles y restaurantes (126)",458,,2,13,3,249,,,1,190,,,
"Trans., almac. y comunicaciones (127)",60,,,7,15,1,,,10,27,,,
"Intermediación financiera (128)",8,,2,2,4,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",106,,19,22,39,2,,,,24,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",124,4,10,11,81,,,,,13,5,,
"Enseñanza (131)",669,7,645,2,13,,,,,2,,,
"Servicios sociales y de salud (132)",171,,75,65,19,3,,,,9,,,
"Otras activ. serv.comun.soc y personales (133)",183,,7,12,13,25,,,,126,,,
"Hogares privados con servicio doméstico (134)",377,,,,,,,,,377,,,
"Actividad economica no especificada (136)",281,,1,1,65,,,,,1,,213,
"Desocupado (137)",153,,,,,,,,,,,,153
,,,,,,,,,,,,,
"RURAL (138)",12103,14,327,51,28,143,5435,86,135,5360,2,260,262
"Agric., ganadería, caza y silvicultura (139)",10566,,,1,,,5433,,2,5130,,,
"Pesca (140)",4,,,,,,2,,,2,,,
"Industrias manufactureras (142)",81,,,2,,,,73,4,2,,,
"Construcción (144)",78,,,1,2,,,,36,39,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",155,,,3,1,115,,11,1,24,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",13,,,,1,4,,7,1,,,,
"Comercio al por mayor (147)",7,,,,,7,,,,,,,
"Comercio al por menor (148)",135,,,3,,104,,4,,24,,,
