"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUALLAGA (000)",8314,23667,21672,,438,91.6,1.9
"De 12 a 14 años (001)",862,9,8,,2,88.9,22.2
"De 15 a 19 años (002)",1135,341,332,74,97.4,21.7,
"De 20 a 24 años (003)",977,1153,1133,130,98.3,11.3,
"De 25 a 29 años (004)",863,1706,1664,82,97.5,4.8,
"De 30 a 34 años (005)",820,2234,2159,84,96.6,3.8,
"De 35 a 39 años (006)",784,2689,2538,41,94.4,1.5,
"De 40 a 44 años (007)",670,2668,2517,21,94.3,0.8,
"De 45 a 49 años (008)",562,2519,2325,4,92.3,0.2,
"De 50 y más años (009)",1641,10348,8996,,86.9,,
"Conviviente (010)",3118,8993,8406,292,93.5,3.2,
"De 12 a 14 años (011)",28,8,7,2,87.5,25,
"De 15 a 19 años (012)",350,261,253,62,96.9,23.8,
"De 20 a 24 años (013)",599,832,817,94,98.2,11.3,
"De 25 a 29 años (014)",517,1066,1043,49,97.8,4.6,
"De 30 a 34 años (015)",450,1232,1181,49,95.9,4,
"De 35 a 39 años (016)",373,1387,1308,25,94.3,1.8,
"De 40 a 44 años (017)",284,1188,1120,10,94.3,0.8,
"De 45 a 49 años (018)",201,1041,950,1,91.3,0.1,
"De 50 y más años (019)",316,1978,1727,,87.3,,
"Separado(a) (020)",221,726,683,13,94.1,1.8,
"De 15 a 19 años (022)",11,9,9,2,100,22.2,
"De 20 a 24 años (023)",24,32,32,4,100,12.5,
"De 25 a 29 años (024)",25,47,47,2,100,4.3,
"De 30 a 34 años (025)",21,49,49,3,100,6.1,
"De 35 a 39 años (026)",31,84,82,,97.6,,
"De 40 a 44 años (027)",19,78,77,2,98.7,2.6,
"De 45 a 49 años (028)",25,87,85,,97.7,,
"De 50 y más años (029)",65,340,302,,88.8,,
"Casado(a) (030)",2486,10728,9849,115,91.8,1.1,
"De 12 a 14 años (031)",3,,,,,,
"De 15 a 19 años (032)",44,38,37,6,97.4,15.8,
"De 20 a 24 años (033)",160,230,225,26,97.8,11.3,
"De 25 a 29 años (034)",216,516,499,28,96.7,5.4,
"De 30 a 34 años (035)",291,875,855,28,97.7,3.2,
"De 35 a 39 años (036)",330,1148,1082,15,94.3,1.3,
"De 40 a 44 años (037)",315,1314,1234,9,93.9,0.7,
