"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia QUISPICANCHI (000)",25843,2777,4278,13704,451,4395,238
"Sin nivel (001)",3536,39,231,2103,32,1105,26
"Educación inicial (002)",39,2,5,21,,10,1
"Primaria (003)",11787,248,1684,7339,191,2225,100
"Secundaria (004)",7400,827,1956,3411,185,931,90
"Superior no univ. incompleta (005)",670,241,116,262,10,39,2
"Superior no univ. completa (006)",1010,566,162,231,10,36,5
"Superior univ. incompleta (007)",487,194,78,173,7,29,6
"Superior univ. completa (008)",914,660,46,164,16,20,8
"Hombres (010)",17484,1829,3780,9739,325,1763,48
"Sin nivel (011)",1378,11,136,1048,16,160,7
"Educación inicial (012)",17,1,4,11,,1,
"Primaria (013)",8332,138,1481,5664,152,884,13
"Secundaria (014)",5692,604,1796,2490,130,653,19
"Superior no univ. incompleta (015)",441,163,102,150,4,21,1
"Superior no univ. completa (016)",667,345,150,152,5,14,1
"Superior univ. incompleta (017)",360,151,72,111,5,18,3
"Superior univ. completa (018)",597,416,39,113,13,12,4
"Mujeres (020)",8359,948,498,3965,126,2632,190
"Sin nivel (021)",2158,28,95,1055,16,945,19
"Educación inicial (022)",22,1,1,10,,9,1
"Primaria (023)",3455,110,203,1675,39,1341,87
"Secundaria (024)",1708,223,160,921,55,278,71
"Superior no univ. incompleta (025)",229,78,14,112,6,18,1
"Superior no univ. completa (026)",343,221,12,79,5,22,4
"Superior univ. incompleta (027)",127,43,6,62,2,11,3
"Superior univ. completa (028)",317,244,7,51,3,8,4
,,,,,,,
"URBANA (030)",10764,2201,2257,4994,234,911,167
"Sin nivel (031)",632,31,78,380,8,119,16
"Educación inicial (032)",14,1,3,8,,1,1
"Primaria (033)",3095,154,634,1858,61,322,66
"Secundaria (034)",4496,652,1232,2042,126,373,71
"Superior no univ. incompleta (035)",542,211,85,207,10,28,1
"Superior no univ. completa (036)",836,463,127,204,10,28,4
"Superior univ. incompleta (037)",412,167,63,148,6,24,4
"Superior univ. completa (038)",737,522,35,147,13,16,4
"Hombres (040)",6891,1425,1981,2917,143,397,28
"Sin nivel (041)",193,9,47,117,1,15,4
"Educación inicial (042)",8,,3,5,,,
"Primaria (043)",1851,87,538,1059,40,119,8
"Secundaria (044)",3203,472,1116,1306,79,216,14
"Superior no univ. incompleta (045)",340,139,73,110,4,13,1
"Superior no univ. completa (046)",537,273,115,133,5,11,
"Superior univ. incompleta (047)",295,128,59,89,4,14,1
"Superior univ. completa (048)",464,317,30,98,10,9,
"Mujeres (050)",3873,776,276,2077,91,514,139
"Sin nivel (051)",439,22,31,263,7,104,12
"Educación inicial (052)",6,1,,3,,1,1
"Primaria (053)",1244,67,96,799,21,203,58
"Secundaria (054)",1293,180,116,736,47,157,57
"Superior no univ. incompleta (055)",202,72,12,97,6,15,
"Superior no univ. completa (056)",299,190,12,71,5,17,4
"Superior univ. incompleta (057)",117,39,4,59,2,10,3
"Superior univ. completa (058)",273,205,5,49,3,7,4
,,,,,,,
"RURAL (060)",15079,576,2021,8710,217,3484,71
"Sin nivel (061)",2904,8,153,1723,24,986,10
"Educación inicial (062)",25,1,2,13,,9,
"Primaria (063)",8692,94,1050,5481,130,1903,34
"Secundaria (064)",2904,175,724,1369,59,558,19
"Superior no univ. incompleta (065)",128,30,31,55,,11,1
"Superior no univ. completa (066)",174,103,35,27,,8,1
"Superior univ. incompleta (067)",75,27,15,25,1,5,2
"Superior univ. completa (068)",177,138,11,17,3,4,4
"Hombres (070)",10593,404,1799,6822,182,1366,20
"Sin nivel (071)",1185,2,89,931,15,145,3
"Educación inicial (072)",9,1,1,6,,1,
"Primaria (073)",6481,51,943,4605,112,765,5
"Secundaria (074)",2489,132,680,1184,51,437,5
"Superior no univ. incompleta (075)",101,24,29,40,,8,
"Superior no univ. completa (076)",130,72,35,19,,3,1
"Superior univ. incompleta (077)",65,23,13,22,1,4,2
"Superior univ. completa (078)",133,99,9,15,3,3,4
"Mujeres (080)",4486,172,222,1888,35,2118,51
"Sin nivel (081)",1719,6,64,792,9,841,7
"Educación inicial (082)",16,,1,7,,8,
"Primaria (083)",2211,43,107,876,18,1138,29
"Secundaria (084)",415,43,44,185,8,121,14
"Superior no univ. incompleta (085)",27,6,2,15,,3,1
"Superior no univ. completa (086)",44,31,,8,,5,
"Superior univ. incompleta (087)",10,4,2,3,,1,
"Superior univ. completa (088)",44,39,2,2,,1,
