"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SAN PABLO (000)",5750,23092,937,3572,4813,19520
"Casa independiente (001)",5640,22690,880,3375,4760,19315
"Vivienda en quinta (003)",41,152,41,152,,
"Vivienda en casa de vecindad (004)",15,38,15,38,,
"Choza o cabaña (005)",51,199,,,51,199
"Vivienda improvisada (006)",1,7,1,7,,
"Local no dest.para hab. humana (007)",2,6,,,2,6
