"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TARMA (000)",1828,29,982,485,280,52
"Conviviente (001)",493,1,221,192,77,2
"Separado(a) (002)",54,,16,24,12,2
"Casado(a) (003)",316,,37,119,128,32
"Viudo(a) (004)",32,,1,4,17,10
"Divorciado(a) (005)",12,,2,4,4,2
"Soltero(a) (006)",921,28,705,142,42,4
"Hombres (008)",1186,15,592,313,221,45
"Conviviente (009)",346,,140,140,64,2
"Separado(a) (010)",20,,4,9,5,2
"Casado(a) (011)",229,,19,76,105,29
"Viudo(a) (012)",19,,,2,11,6
"Divorciado(a) (013)",10,,1,4,3,2
"Soltero(a) (014)",562,15,428,82,33,4
"Mujeres (016)",642,14,390,172,59,7
"Conviviente (017)",147,1,81,52,13,
"Separado(a) (018)",34,,12,15,7,
"Casado(a) (019)",87,,18,43,23,3
"Viudo(a) (020)",13,,1,2,6,4
"Divorciado(a) (021)",2,,1,,1,
"Soltero(a) (022)",359,13,277,60,9,
,,,,,,
"AREA URBANA (024)",1473,15,776,413,231,38
"Conviviente (025)",411,1,183,163,63,1
"Separado(a) (026)",42,,13,19,9,1
"Casado(a) (027)",272,,35,110,103,24
"Viudo(a) (028)",24,,,2,15,7
"Divorciado(a) (029)",11,,2,4,3,2
"Soltero(a) (030)",713,14,543,115,38,3
"Hombres (032)",951,6,466,259,186,34
"Conviviente (033)",284,,113,115,55,1
"Separado(a) (034)",15,,4,7,3,1
"Casado(a) (035)",194,,19,69,84,22
"Viudo(a) (036)",15,,,,10,5
"Divorciado(a) (037)",9,,1,4,2,2
"Soltero(a) (038)",434,6,329,64,32,3
"Mujeres (040)",522,9,310,154,45,4
"Conviviente (041)",127,1,70,48,8,
"Separado(a) (042)",27,,9,12,6,
"Casado(a) (043)",78,,16,41,19,2
"Viudo(a) (044)",9,,,2,5,2
"Divorciado(a) (045)",2,,1,,1,
"Soltero(a) (046)",279,8,214,51,6,
,,,,,,
"AREA RURAL (048)",355,14,206,72,49,14
"Conviviente (049)",82,,38,29,14,1
"Separado(a) (050)",12,,3,5,3,1
"Casado(a) (051)",44,,2,9,25,8
"Viudo(a) (052)",8,,1,2,2,3
"Divorciado(a) (053)",1,,,,1,
"Soltero(a) (054)",208,14,162,27,4,1
"Hombres (056)",235,9,126,54,35,11
"Conviviente (057)",62,,27,25,9,1
"Separado(a) (058)",5,,,2,2,1
"Casado(a) (059)",35,,,7,21,7
"Viudo(a) (060)",4,,,2,1,1
"Divorciado(a) (061)",1,,,,1,
"Soltero(a) (062)",128,9,99,18,1,1
"Mujeres (064)",120,5,80,18,14,3
"Conviviente (065)",20,,11,4,5,
"Separado(a) (066)",7,,3,3,1,
"Casado(a) (067)",9,,2,2,4,1
"Viudo(a) (068)",4,,1,,1,2
"Soltero(a) (070)",80,5,63,9,3,
