"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PARURO (000)",9028,6977,1505,204,342
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",39,,4,4,31
"Profes., científicos e intelectuales (002)",349,134,115,65,35
"Técnicos de nivel medio y trab. asimilados (003)",72,30,12,11,19
"Jefes y empleados de oficina (004)",90,11,6,7,66
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",541,496,32,8,5
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4611,3796,810,4,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",152,133,11,4,4
"Obreros construc.,conf.,papel, fab., instr. (008)",325,190,81,37,17
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2427,1868,378,56,125
"Otra (010)",36,,,,36
"Ocupación no especificada (011)",386,319,56,8,3
"Hombres (012)",6717,5022,1252,167,276
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",32,,4,4,24
"Profes., científicos e intelectuales (014)",183,55,65,44,19
"Técnicos de nivel medio y trab. asimilados (015)",49,21,5,11,12
"Jefes y empleados de oficina (016)",58,8,5,6,39
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",113,80,24,5,4
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4185,3414,766,4,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",119,101,10,4,4
"Obreros construc.,conf.,papel, fab., instr. (020)",319,188,78,36,17
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1462,1039,257,48,118
"Otra (022)",36,,,,36
"Ocupación no especificada (023)",161,116,38,5,2
"Mujeres (024)",2311,1955,253,37,66
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,,,,7
"Profes., científicos e intelectuales (026)",166,79,50,21,16
"Técnicos de nivel medio y trab. asimilados (027)",23,9,7,,7
"Jefes y empleados de oficina (028)",32,3,1,1,27
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",428,416,8,3,1
"Agricult.trabaj.calif.agrop.y pesqueros (030)",426,382,44,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",33,32,1,,
"Obreros construc.,conf.,papel, fab., instr. (032)",6,2,3,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",965,829,121,8,7
