"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TAMBOPATA (000)",74893,62582,12311
"Casa independiente (001)",62348,53425,8923
"Departamento en edificio (002)",502,502,
"Vivienda en quinta (003)",2443,2443,
"Vivienda en casa de vecindad (004)",5368,5368,
"Choza o cabaña (005)",3329,,3329
"Vivienda improvisada (006)",649,649,
"Local no dest.para hab. humana (007)",179,165,14
"Otro tipo (008)",75,30,45
