"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CHINCHA (000)",44940,193285,39490,171705,5450,21580
"Casa independiente (001)",35689,154453,31279,136891,4410,17562
"Departamento en edificio (002)",368,1282,368,1282,,
"Vivienda en quinta (003)",267,1062,267,1062,,
"Vivienda en casa de vecindad (004)",341,1379,341,1379,,
"Choza o cabaña (005)",1032,3992,,,1032,3992
"Vivienda improvisada (006)",6910,30085,6910,30085,,
"Local no dest.para hab. humana (007)",73,226,71,215,2,11
"Otro tipo (008)",260,806,254,791,6,15
