"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANUCO (000)",253902,11622,30371,34018,29656,47457,34814,51111,14853
"Sin nivel (001)",44090,11622,4880,544,940,3387,4453,11732,6532
"Educación inicial (002)",5854,,5485,143,47,103,76,,
"Primaria (003)",93408,,20006,23559,5936,10722,10694,16834,5657
"Secundaria (004)",65213,,,9772,19320,15434,8529,10525,1633
"Superior no univ. incompleto (005)",7161,,,,1216,3610,1249,1013,73
"Superior no univ. completo (006)",8039,,,,,3065,2545,2198,231
"Superior univ. incompleto (007)",13106,,,,2197,6936,1635,2206,132
"Superior univ. completo (008)",17031,,,,,4200,5633,6603,595
"Hombres (010)",124713,5987,15437,17418,14857,23154,16402,24466,6992
"Sin nivel (011)",16792,5987,2437,264,374,1106,1253,3353,2018
"Educación inicial (012)",2950,,2774,80,25,44,27,,
"Primaria (013)",47573,,10226,12106,2840,5034,5224,8849,3294
"Secundaria (014)",34922,,,4968,10082,8472,4614,5799,987
"Superior no univ. incompleto (015)",3532,,,,566,1708,628,577,53
"Superior no univ. completo (016)",3337,,,,,1255,1001,952,129
"Superior univ. incompleto (017)",7014,,,,970,3698,950,1303,93
"Superior univ. completo (018)",8593,,,,,1837,2705,3633,418
"Mujeres (020)",129189,5635,14934,16600,14799,24303,18412,26645,7861
"Sin nivel (021)",27298,5635,2443,280,566,2281,3200,8379,4514
"Educación inicial (022)",2904,,2711,63,22,59,49,,
"Primaria (023)",45835,,9780,11453,3096,5688,5470,7985,2363
"Secundaria (024)",30291,,,4804,9238,6962,3915,4726,646
"Superior no univ. incompleto (025)",3629,,,,650,1902,621,436,20
"Superior no univ. completo (026)",4702,,,,,1810,1544,1246,102
"Superior univ. incompleto (027)",6092,,,,1227,3238,685,903,39
"Superior univ. completo (028)",8438,,,,,2363,2928,2970,177
,,,,,,,,,
"URBANA (030)",154245,6222,15927,18758,18970,30720,21979,32708,8961
"Sin nivel (031)",14171,6222,1403,99,144,413,713,2887,2290
"Educación inicial (032)",3593,,3405,97,23,34,34,,
"Primaria (033)",43297,,11119,11066,1487,2527,3875,9049,4174
