"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia SAN ROMAN",,,,,,,,,
"Viviendas particulares (001)",59029,12492,14809,10897,8707,4836,2974,1497,2817
"Ocupantes presentes (002)",238281,38610,56121,45681,38418,22810,14460,7609,14572
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",52118,9649,13171,9885,7942,4376,2912,1454,2729
"Ocupantes presentes (005)",213002,30425,49904,41398,35026,20540,14164,7386,14159
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",689,131,145,174,92,44,29,22,52
"Ocupantes presentes (008)",2475,317,486,634,399,194,116,101,228
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",684,246,129,90,80,49,33,21,36
"Ocupantes presentes (011)",2738,676,521,425,355,274,180,122,185
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",5208,2276,1289,704,574,365,,,
"Ocupantes presentes (014)",19087,6647,5005,3064,2573,1798,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",241,128,64,33,14,2,,,
"Ocupantes presentes (017)",727,393,173,114,43,4,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",16,15,,1,,,,,
"Ocupantes presentes (020)",48,37,,11,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",54,28,11,10,5,,,,
"Ocupantes presentes (023)",155,66,32,35,22,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",19,19,,,,,,,
"Ocupantes presentes (026)",49,49,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",53099,10986,12946,9532,7982,4555,2864,1451,2783
"Ocupantes presentes (029)",218183,34280,49942,40742,35714,21647,14047,7401,14410
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",46430,8271,11372,8554,7231,4097,2802,1408,2695
"Ocupantes presentes (032)",193636,26488,43898,36578,32365,19381,13751,7178,13997
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",689,131,145,174,92,44,29,22,52
"Ocupantes presentes (035)",2475,317,486,634,399,194,116,101,228
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",684,246,129,90,80,49,33,21,36
"Ocupantes presentes (038)",2738,676,521,425,355,274,180,122,185
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",5208,2276,1289,704,574,365,,,
"Ocupantes presentes (041)",19087,6647,5005,3064,2573,1798,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",16,15,,1,,,,,
"Ocupantes presentes (047)",48,37,,11,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",53,28,11,9,5,,,,
"Ocupantes presentes (050)",150,66,32,30,22,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",19,19,,,,,,,
"Ocupantes presentes (053)",49,49,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",5930,1506,1863,1365,725,281,110,46,34
"Ocupantes presentes (056)",20098,4330,6179,4939,2704,1163,413,208,162
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",5688,1378,1799,1331,711,279,110,46,34
"Ocupantes presentes (059)",19366,3937,6006,4820,2661,1159,413,208,162
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",241,128,64,33,14,2,,,
"Ocupantes presentes (071)",727,393,173,114,43,4,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,1,,,,,
"Ocupantes presentes (077)",5,,,5,,,,,
"Otro tipo",,,,,,,,,
