"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUAURA (000)",187250,6957,16791,20396,19403,34755,28459,44503,15986
"Sabe leer y escribir (001)",170717,,13265,20255,19278,34350,27900,42108,13561
"No sabe leer y escribir (002)",16533,6957,3526,141,125,405,559,2395,2425
"Hombres (004)",94363,3584,8590,10394,9826,17637,14034,22187,8111
"Sabe leer y escribir (005)",87527,,6783,10315,9760,17496,13888,21683,7602
"No sabe leer y escribir (006)",6836,3584,1807,79,66,141,146,504,509
"Mujeres (008)",92887,3373,8201,10002,9577,17118,14425,22316,7875
"Sabe leer y escribir (009)",83190,,6482,9940,9518,16854,14012,20425,5959
"No sabe leer y escribir (010)",9697,3373,1719,62,59,264,413,1891,1916
,,,,,,,,,
"URBANA (012)",161953,5844,14283,17506,16769,29987,24828,38859,13877
"Sabe leer y escribir (013)",148939,,11421,17391,16677,29711,24456,37188,12095
"No sabe leer y escribir (014)",13014,5844,2862,115,92,276,372,1671,1782
"Hombres (016)",80785,2985,7307,8886,8439,15065,12085,19076,6942
"Sabe leer y escribir (017)",75310,,5826,8822,8391,14961,11983,18739,6588
"No sabe leer y escribir (018)",5475,2985,1481,64,48,104,102,337,354
"Mujeres (020)",81168,2859,6976,8620,8330,14922,12743,19783,6935
"Sabe leer y escribir (021)",73629,,5595,8569,8286,14750,12473,18449,5507
"No sabe leer y escribir (022)",7539,2859,1381,51,44,172,270,1334,1428
,,,,,,,,,
"RURAL (024)",25297,1113,2508,2890,2634,4768,3631,5644,2109
"Sabe leer y escribir (025)",21778,,1844,2864,2601,4639,3444,4920,1466
"No sabe leer y escribir (026)",3519,1113,664,26,33,129,187,724,643
"Hombres (028)",13578,599,1283,1508,1387,2572,1949,3111,1169
"Sabe leer y escribir (029)",12217,,957,1493,1369,2535,1905,2944,1014
"No sabe leer y escribir (030)",1361,599,326,15,18,37,44,167,155
"Mujeres (032)",11719,514,1225,1382,1247,2196,1682,2533,940
"Sabe leer y escribir (033)",9561,,887,1371,1232,2104,1539,1976,452
"No sabe leer y escribir (034)",2158,514,338,11,15,92,143,557,488
