"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SATIPO (000)",72018,2057,30301,23843,13424,2393
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",72,,6,36,27,3
"Profes., científicos e intelectuales (002)",3075,,784,1680,583,28
"Técnicos de nivel medio y trab.asimilados (003)",1149,,454,456,219,20
"Jefes y empleados de oficina (004)",713,,375,222,112,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5006,81,1832,1862,1087,144
"Agricult.trabaj. calif. agrop. y pesqueros (006)",26138,119,8326,9852,6412,1429
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",2368,33,1005,805,470,55
"Obreros construc., conf., papel, fab., instr. (008)",3186,14,1363,1205,560,44
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",26565,1722,14082,6680,3484,597
"Otra (010)",544,,271,200,73,
"Ocupación no especificada (011)",1334,14,595,457,226,42
"Desocupado (012)",1868,74,1208,388,171,27
"Hombres (013)",55101,1398,23092,18055,10482,2074
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",50,,4,25,18,3
"Profes., científicos e intelectuales (015)",1624,,333,872,399,20
"Técnicos de nivel medio y trab.asimilados (016)",735,,266,293,162,14
"Jefes y empleados de oficina (017)",327,,134,107,82,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1899,34,691,670,435,69
"Agricult.trabaj. calif. agrop. y pesqueros (019)",24073,80,7642,9140,5856,1355
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",2059,25,883,684,418,49
"Obreros construc., conf., papel, fab., instr. (021)",3093,11,1323,1177,539,43
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",19191,1198,10688,4527,2297,481
"Otra (023)",454,,197,186,71,
"Ocupación no especificada (024)",331,4,164,86,65,12
"Desocupado (025)",1265,46,767,288,140,24
"Mujeres (026)",16917,659,7209,5788,2942,319
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",22,,2,11,9,
"Profes., científicos e intelectuales (028)",1451,,451,808,184,8
"Técnicos de nivel medio y trab.asimilados (029)",414,,188,163,57,6
"Jefes y empleados de oficina (030)",386,,241,115,30,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",3107,47,1141,1192,652,75
"Agricult.trabaj. calif. agrop. y pesqueros (032)",2065,39,684,712,556,74
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",309,8,122,121,52,6
